,PLAYER_ID,PLAYER_NAME,PLAYER_TEAMID,SO,SOPP
83,2199,Tyson Chandler,1610612756,569.2,0.2157441876422957
84,201163,Wilson Chandler,1610612743,0.0,0.0
85,1626176,Rakeem Christmas,1610612754,0.0,0.0
86,203546,Ian Clark,1610612744,305.48,0.29914468988890786
87,203903,Jordan Clarkson,1610612747,1405.92,0.3233031190043427
88,202708,Norris Cole,1610612740,870.92,0.354545764607713
89,201954,Darren Collison,1610612758,1211.6,0.3308956426963411
90,2555,Nick Collison,1610612760,283.96000000000004,0.2156729595683619
91,201144,Mike Conley,1610612763,1510.68,0.411353819932644
92,1626192,Pat Connaughton,1610612757,49.96000000000001,0.29456823486058226
93,203142,Chris Copeland,0,77.88,0.22284076512096287
94,203955,Bryce Cotton,0,19.9,0.26867686768676863
95,202326,DeMarcus Cousins,1610612758,1912.0,0.4689031341754092
