gameid,season,away,home
19791031CLEWSB,1979,CLE,WSB
19791101CLEDET,1979,CLE,DET
19791101NYKUTA,1979,NYK,UTA
19791102CHIDEN,1979,CHI,DEN
19791102NYKKCK,1979,NYK,KCK
19791102PHOLAL,1979,PHO,LAL
19791102INDNJN,1979,IND,NJN
19791102ATLPHI,1979,ATL,PHI
19791102PORSDC,1979,POR,SDC
19791102SASSEA,1979,SAS,SEA
19791103NJNATL,1979,NJN,ATL
19791103MILCHI,1979,MIL,CHI
19791103KCKCLE,1979,KCK,CLE
19791103HOUDET,1979,HOU,DET
19791103DENGSW,1979,DEN,GSW
19791103PHIIND,1979,PHI,IND
19791103UTASDC,1979,UTA,SDC
19791103BOSWSB,1979,BOS,WSB
19791104SEAMIL,1979,SEA,MIL
19791104KCKNJN,1979,KCK,NJN
19791104SASPOR,1979,SAS,POR
19791106SEACHI,1979,SEA,CHI
19791106INDCLE,1979,IND,CLE
19791106SDCLAL,1979,SDC,LAL
19791106PHIMIL,1979,PHI,MIL
19791106ATLNYK,1979,ATL,NYK
19791106NJNSAS,1979,NJN,SAS
19791106PHOUTA,1979,PHO,UTA
19791107SASBOS,1979,SAS,BOS
19791107SEADEN,1979,SEA,DEN
19791107ATLDET,1979,ATL,DET
19791107LALGSW,1979,LAL,GSW
19791107NJNHOU,1979,NJN,HOU
19791107PORIND,1979,POR,IND
19791107KCKPHI,1979,KCK,PHI
19791107SDCPHO,1979,SDC,PHO
19791108PORMIL,1979,POR,MIL
19791108DENUTA,1979,DEN,UTA
19791109KCKBOS,1979,KCK,BOS
19791109SDCCHI,1979,SDC,CHI
19791109PHIDET,1979,PHI,DET
19791109DENLAL,1979,DEN,LAL
19791109CLEPHO,1979,CLE,PHO
19791109SASWSB,1979,SAS,WSB
19791110WSBATL,1979,WSB,ATL
19791110PORCHI,1979,POR,CHI
19791110INDGSW,1979,IND,GSW
19791110DETHOU,1979,DET,HOU
19791110SDCMIL,1979,SDC,MIL
19791110SASNYK,1979,SAS,NYK
19791110BOSPHI,1979,BOS,PHI
19791110SEAUTA,1979,SEA,UTA
19791111PORKCK,1979,POR,KCK
19791111CLELAL,1979,CLE,LAL
19791111DENPHO,1979,DEN,PHO
19791112INDUTA,1979,IND,UTA
19791113HOUCHI,1979,HOU,CHI
19791113CLEDEN,1979,CLE,DEN
19791113PHIKCK,1979,PHI,KCK
19791113ATLNJN,1979,ATL,NJN
19791113WSBNYK,1979,WSB,NYK
19791113MILPOR,1979,MIL,POR
19791113GSWSAS,1979,GSW,SAS
19791113LALSDC,1979,LAL,SDC
19791114UTAATL,1979,UTA,ATL
19791114DETBOS,1979,DET,BOS
19791114GSWHOU,1979,GSW,HOU
19791114INDPHO,1979,IND,PHO
19791114MILSEA,1979,MIL,SEA
19791114CHIWSB,1979,CHI,WSB
19791115DENGSW,1979,DEN,GSW
19791115LALKCK,1979,LAL,KCK
19791115NYKSAS,1979,NYK,SAS
19791116UTABOS,1979,UTA,BOS
19791116LALDEN,1979,LAL,DEN
19791116NYKHOU,1979,NYK,HOU
19791116CHIKCK,1979,CHI,KCK
19791116WSBNJN,1979,WSB,NJN
19791116SASPHI,1979,SAS,PHI
19791116PORPHO,1979,POR,PHO
19791116INDSDC,1979,IND,SDC
19791116CLESEA,1979,CLE,SEA
19791117HOUATL,1979,HOU,ATL
19791117PHICHI,1979,PHI,CHI
19791117NJNDET,1979,NJN,DET
19791117SEAGSW,1979,SEA,GSW
19791117BOSNYK,1979,BOS,NYK
19791117CLEPOR,1979,CLE,POR
19791117UTAWSB,1979,UTA,WSB
19791118KCKDEN,1979,KCK,DEN
19791118INDLAL,1979,IND,LAL
19791118SASNJN,1979,SAS,NJN
19791118GSWPHO,1979,GSW,PHO
19791118SEAPOR,1979,SEA,POR
19791118MILSDC,1979,MIL,SDC
19791120DETATL,1979,DET,ATL
19791120DENCHI,1979,DEN,CHI
19791120UTACLE,1979,UTA,CLE
19791120GSWKCK,1979,GSW,KCK
19791120HOUNYK,1979,HOU,NYK
19791120LALPOR,1979,LAL,POR
19791120PHISAS,1979,PHI,SAS
19791120PHOSDC,1979,PHO,SDC
19791121NJNBOS,1979,NJN,BOS
19791121SDCDEN,1979,SDC,DEN
19791121UTADET,1979,UTA,DET
19791121PHIHOU,1979,PHI,HOU
19791121NYKIND,1979,NYK,IND
19791121ATLMIL,1979,ATL,MIL
19791121KCKPHO,1979,KCK,PHO
19791121LALSEA,1979,LAL,SEA
19791121CLEWSB,1979,CLE,WSB
19791122GSWCLE,1979,GSW,CLE
19791122MILNJN,1979,MIL,NJN
19791123INDBOS,1979,IND,BOS
19791123ATLCHI,1979,ATL,CHI
19791123MILDET,1979,MIL,DET
19791123HOUPHI,1979,HOU,PHI
19791123LALPHO,1979,LAL,PHO
19791123WSBSAS,1979,WSB,SAS
19791123KCKSDC,1979,KCK,SDC
19791123PORSEA,1979,POR,SEA
19791124BOSATL,1979,BOS,ATL
19791124GSWCHI,1979,GSW,CHI
19791124PHODEN,1979,PHO,DEN
19791124WSBHOU,1979,WSB,HOU
19791124DETIND,1979,DET,IND
19791124CLENYK,1979,CLE,NYK
19791124NJNPHI,1979,NJN,PHI
19791125NJNCLE,1979,NJN,CLE
19791125KCKLAL,1979,KCK,LAL
19791125GSWMIL,1979,GSW,MIL
19791125PHOPOR,1979,PHO,POR
19791126INDPHI,1979,IND,PHI
19791127HOUKCK,1979,HOU,KCK
19791127NJNMIL,1979,NJN,MIL
19791127DETNYK,1979,DET,NYK
19791127ATLSAS,1979,ATL,SAS
19791127CHISDC,1979,CHI,SDC
19791127LALUTA,1979,LAL,UTA
19791127DENWSB,1979,DEN,WSB
19791128PORATL,1979,POR,ATL
19791128DENBOS,1979,DEN,BOS
19791128SDCGSW,1979,SDC,GSW
19791128CLEHOU,1979,CLE,HOU
19791128MILIND,1979,MIL,IND
19791128DETNJN,1979,DET,NJN
19791128WSBPHI,1979,WSB,PHI
19791128PHOSEA,1979,PHO,SEA
19791129NYKCLE,1979,NYK,CLE
19791129KCKDET,1979,KCK,DET
19791130NYKBOS,1979,NYK,BOS
19791130UTAGSW,1979,UTA,GSW
19791130ATLHOU,1979,ATL,HOU
19791130SEAKCK,1979,SEA,KCK
19791130CHILAL,1979,CHI,LAL
19791130DENNJN,1979,DEN,NJN
19791130SDCPHI,1979,SDC,PHI
19791130PORSAS,1979,POR,SAS
19791130INDWSB,1979,IND,WSB
19791201SDCATL,1979,SDC,ATL
19791201SASDET,1979,SAS,DET
19791201MILGSW,1979,MIL,GSW
19791201PORHOU,1979,POR,HOU
19791201BOSIND,1979,BOS,IND
19791201DENNYK,1979,DEN,NYK
19791201CLEPHI,1979,CLE,PHI
19791201CHIPHO,1979,CHI,PHO
19791201SEAUTA,1979,SEA,UTA
19791201NJNWSB,1979,NJN,WSB
19791202ATLCLE,1979,ATL,CLE
19791202BOSKCK,1979,BOS,KCK
19791202MILLAL,1979,MIL,LAL
19791202GSWSEA,1979,GSW,SEA
19791203MILUTA,1979,MIL,UTA
19791204SDCCLE,1979,SDC,CLE
19791204BOSDET,1979,BOS,DET
19791204PHONYK,1979,PHO,NYK
19791204LALSAS,1979,LAL,SAS
19791205ATLBOS,1979,ATL,BOS
19791205MILDEN,1979,MIL,DEN
19791205CHIGSW,1979,CHI,GSW
19791205LALHOU,1979,LAL,HOU
19791205CLEIND,1979,CLE,IND
19791205DETKCK,1979,DET,KCK
19791205PHONJN,1979,PHO,NJN
19791205SASPHI,1979,SAS,PHI
19791205UTASEA,1979,UTA,SEA
19791205NYKWSB,1979,NYK,WSB
19791206GSWSDC,1979,GSW,SDC
19791206PORUTA,1979,POR,UTA
19791207PHOBOS,1979,PHO,BOS
19791207DETHOU,1979,DET,HOU
19791207SDCLAL,1979,SDC,LAL
19791207SASMIL,1979,SAS,MIL
19791207CHIPOR,1979,CHI,POR
19791208BOSCLE,1979,BOS,CLE
19791208UTADEN,1979,UTA,DEN
19791208SEAGSW,1979,SEA,GSW
19791208DETIND,1979,DET,IND
19791208KCKNYK,1979,KCK,NYK
19791208PHOPHI,1979,PHO,PHI
19791208HOUSAS,1979,HOU,SAS
19791208ATLWSB,1979,ATL,WSB
19791209DENLAL,1979,DEN,LAL
19791209BOSMIL,1979,BOS,MIL
19791209ATLNJN,1979,ATL,NJN
19791209SDCPOR,1979,SDC,POR
19791209CHISEA,1979,CHI,SEA
19791210GSWUTA,1979,GSW,UTA
19791211PORCHI,1979,POR,CHI
19791211SASDEN,1979,SAS,DEN
19791211SEAMIL,1979,SEA,MIL
19791211INDNYK,1979,IND,NYK
19791211PHOWSB,1979,PHO,WSB
19791212NYKATL,1979,NYK,ATL
19791212NJNBOS,1979,NJN,BOS
19791212DETGSW,1979,DET,GSW
19791212SEAIND,1979,SEA,IND
19791212PORKCK,1979,POR,KCK
19791212MILPHI,1979,MIL,PHI
19791212HOUSDC,1979,HOU,SDC
19791213WSBCLE,1979,WSB,CLE
19791213HOUPHO,1979,HOU,PHO
19791213SASUTA,1979,SAS,UTA
19791214MILBOS,1979,MIL,BOS
19791214WSBIND,1979,WSB,IND
19791214UTAKCK,1979,UTA,KCK
19791214DETLAL,1979,DET,LAL
19791214NYKNJN,1979,NYK,NJN
19791214ATLPHI,1979,ATL,PHI
19791214DENSDC,1979,DEN,SDC
19791214HOUSEA,1979,HOU,SEA
19791215PHIATL,1979,PHI,ATL
19791215WSBCHI,1979,WSB,CHI
19791215NJNCLE,1979,NJN,CLE
19791215SASGSW,1979,SAS,GSW
19791215BOSNYK,1979,BOS,NYK
19791215DETPHO,1979,DET,PHO
19791215DENPOR,1979,DEN,POR
19791216INDKCK,1979,IND,KCK
19791216SASLAL,1979,SAS,LAL
19791216UTAMIL,1979,UTA,MIL
19791216BOSNJN,1979,BOS,NJN
19791216HOUPOR,1979,HOU,POR
19791216DETSDC,1979,DET,SDC
19791216DENSEA,1979,DEN,SEA
19791218LALCHI,1979,LAL,CHI
19791218PHIDET,1979,PHI,DET
19791218SDCKCK,1979,SDC,KCK
19791218ATLNYK,1979,ATL,NYK
19791218CLEUTA,1979,CLE,UTA
19791219LALATL,1979,LAL,ATL
19791219PHIBOS,1979,PHI,BOS
19791219PORDEN,1979,POR,DEN
19791219CLEGSW,1979,CLE,GSW
19791219CHIHOU,1979,CHI,HOU
19791219UTAPHO,1979,UTA,PHO
19791219INDSAS,1979,IND,SAS
19791219NJNSEA,1979,NJN,SEA
19791219KCKWSB,1979,KCK,WSB
19791220ATLDET,1979,ATL,DET
19791220KCKMIL,1979,KCK,MIL
19791220NYKSDC,1979,NYK,SDC
19791221SASBOS,1979,SAS,BOS
19791221PHOCHI,1979,PHO,CHI
19791221GSWLAL,1979,GSW,LAL
19791221HOUPHI,1979,HOU,PHI
19791221NJNPOR,1979,NJN,POR
19791221NYKSEA,1979,NYK,SEA
19791221SDCUTA,1979,SDC,UTA
19791222CLECHI,1979,CLE,CHI
19791222LALDEN,1979,LAL,DEN
19791222NJNGSW,1979,NJN,GSW
19791222ATLIND,1979,ATL,IND
19791222PHOKCK,1979,PHO,KCK
19791222BOSPHI,1979,BOS,PHI
19791222DETSAS,1979,DET,SAS
19791222HOUWSB,1979,HOU,WSB
19791223SEALAL,1979,SEA,LAL
19791223MILPHO,1979,MIL,PHO
19791223NYKPOR,1979,NYK,POR
19791223UTASDC,1979,UTA,SDC
19791225DETCLE,1979,DET,CLE
19791225NJNNYK,1979,NJN,NYK
19791225GSWPOR,1979,GSW,POR
19791225DENUTA,1979,DEN,UTA
19791225PHIWSB,1979,PHI,WSB
19791226GSWDEN,1979,GSW,DEN
19791226INDDET,1979,IND,DET
19791226SASHOU,1979,SAS,HOU
19791226LALKCK,1979,LAL,KCK
19791226CHIMIL,1979,CHI,MIL
19791226WSBNJN,1979,WSB,NJN
19791226PORPHO,1979,POR,PHO
19791226SDCSEA,1979,SDC,SEA
19791227HOUATL,1979,HOU,ATL
19791227NYKCLE,1979,NYK,CLE
19791227PHISAS,1979,PHI,SAS
19791227BOSSDC,1979,BOS,SDC
19791227LALUTA,1979,LAL,UTA
19791227MILWSB,1979,MIL,WSB
19791228NYKCHI,1979,NYK,CHI
19791228DENDET,1979,DEN,DET
19791228BOSLAL,1979,BOS,LAL
19791228INDNJN,1979,IND,NJN
19791228KCKPHO,1979,KCK,PHO
19791228PORSEA,1979,POR,SEA
19791229DETATL,1979,DET,ATL
19791229DENCLE,1979,DEN,CLE
19791229BOSGSW,1979,BOS,GSW
19791229PHIHOU,1979,PHI,HOU
19791229UTAIND,1979,UTA,IND
19791229MILNYK,1979,MIL,NYK
19791229KCKSAS,1979,KCK,SAS
19791229SDCWSB,1979,SDC,WSB
19791230PHOLAL,1979,PHO,LAL
19791230UTAMIL,1979,UTA,MIL
19791230SEAPOR,1979,SEA,POR
19800101SASNYK,1979,SAS,NYK
19800101WSBPOR,1979,WSB,POR
19800102DETDEN,1979,DET,DEN
19800102PORGSW,1979,POR,GSW
19800102BOSHOU,1979,BOS,HOU
19800102LALIND,1979,LAL,IND
19800102SDCNJN,1979,SDC,NJN
19800102PHOSAS,1979,PHO,SAS
19800102WSBSEA,1979,WSB,SEA
19800102KCKUTA,1979,KCK,UTA
19800103NJNATL,1979,NJN,ATL
19800103PHICLE,1979,PHI,CLE
19800103INDMIL,1979,IND,MIL
19800103SDCNYK,1979,SDC,NYK
19800104SDCCHI,1979,SDC,CHI
19800104WSBGSW,1979,WSB,GSW
19800104SASKCK,1979,SAS,KCK
19800104HOUNJN,1979,HOU,NJN
19800104UTAPOR,1979,UTA,POR
19800104DETSEA,1979,DET,SEA
19800105KCKATL,1979,KCK,ATL
19800105MILCLE,1979,MIL,CLE
19800105INDDEN,1979,IND,DEN
19800105SEAGSW,1979,SEA,GSW
19800105PHOHOU,1979,PHO,HOU
19800105CHINYK,1979,CHI,NYK
19800105BOSSAS,1979,BOS,SAS
19800105WSBUTA,1979,WSB,UTA
19800106DENKCK,1979,DEN,KCK
19800106LALMIL,1979,LAL,MIL
19800106CLENJN,1979,CLE,NJN
19800106DETPOR,1979,DET,POR
19800106SEASDC,1979,SEA,SDC
19800108MILCHI,1979,MIL,CHI
19800108HOUCLE,1979,HOU,CLE
19800108SDCKCK,1979,SDC,KCK
19800108PHINYK,1979,PHI,NYK
19800108INDPOR,1979,IND,POR
19800108DENSAS,1979,DEN,SAS
19800108DETUTA,1979,DET,UTA
19800109CLEATL,1979,CLE,ATL
19800109NYKBOS,1979,NYK,BOS
19800109DENHOU,1979,DEN,HOU
19800109SDCMIL,1979,SDC,MIL
19800109NJNPHI,1979,NJN,PHI
19800109GSWPHO,1979,GSW,PHO
19800109INDSEA,1979,IND,SEA
19800109LALWSB,1979,LAL,WSB
19800110CHIKCK,1979,CHI,KCK
19800111ATLBOS,1979,ATL,BOS
19800111INDCHI,1979,IND,CHI
19800111LALDET,1979,LAL,DET
19800111DENKCK,1979,DEN,KCK
19800111NYKMIL,1979,NYK,MIL
19800111PORNJN,1979,POR,NJN
19800111WSBPHI,1979,WSB,PHI
19800111CLESAS,1979,CLE,SAS
19800111GSWSDC,1979,GSW,SDC
19800111UTASEA,1979,UTA,SEA
19800112SASATL,1979,SAS,ATL
19800112SEADEN,1979,SEA,DEN
19800112PHOGSW,1979,PHO,GSW
19800112CLEHOU,1979,CLE,HOU
19800112DETIND,1979,DET,IND
19800112UTASDC,1979,UTA,SDC
19800113LALBOS,1979,LAL,BOS
19800113CHIDET,1979,CHI,DET
19800113NJNKCK,1979,NJN,KCK
19800113HOUMIL,1979,HOU,MIL
19800113NYKPHI,1979,NYK,PHI
19800113UTAPHO,1979,UTA,PHO
19800113ATLSAS,1979,ATL,SAS
19800113GSWSEA,1979,GSW,SEA
19800113PORWSB,1979,POR,WSB
19800115KCKCHI,1979,KCK,CHI
19800115PHODEN,1979,PHO,DEN
19800115UTALAL,1979,UTA,LAL
19800115CLENYK,1979,CLE,NYK
19800115NJNSAS,1979,NJN,SAS
19800115SEAWSB,1979,SEA,WSB
19800116CHIBOS,1979,CHI,BOS
19800116LALGSW,1979,LAL,GSW
19800116NJNHOU,1979,NJN,HOU
19800116DENIND,1979,DEN,IND
19800116KCKMIL,1979,KCK,MIL
19800116PORPHI,1979,POR,PHI
19800116ATLSDC,1979,ATL,SDC
19800116PHOUTA,1979,PHO,UTA
19800117SASCLE,1979,SAS,CLE
19800117WSBDET,1979,WSB,DET
19800117ATLPHO,1979,ATL,PHO
19800118PORBOS,1979,POR,BOS
19800118UTACHI,1979,UTA,CHI
19800118SDCGSW,1979,SDC,GSW
19800118WSBHOU,1979,WSB,HOU
19800118ATLLAL,1979,ATL,LAL
19800118DENMIL,1979,DEN,MIL
19800118PHINJN,1979,PHI,NJN
19800118SEANYK,1979,SEA,NYK
19800119DENCHI,1979,DEN,CHI
19800119HOUDET,1979,HOU,DET
19800119KCKIND,1979,KCK,IND
19800119CLEPHI,1979,CLE,PHI
19800119SDCPHO,1979,SDC,PHO
19800119WSBSAS,1979,WSB,SAS
19800119GSWUTA,1979,GSW,UTA
19800120SEABOS,1979,SEA,BOS
19800120PORMIL,1979,POR,MIL
19800121NYKLAL,1979,NYK,LAL
19800122HOUBOS,1979,HOU,BOS
19800122DETCHI,1979,DET,CHI
19800122WSBCLE,1979,WSB,CLE
19800122ATLKCK,1979,ATL,KCK
19800122SDCSAS,1979,SDC,SAS
19800122MILUTA,1979,MIL,UTA
19800123SEAATL,1979,SEA,ATL
19800123PHIDEN,1979,PHI,DEN
19800123BOSDET,1979,BOS,DET
19800123MILGSW,1979,MIL,GSW
19800123SDCHOU,1979,SDC,HOU
19800123SASIND,1979,SAS,IND
19800123CLENJN,1979,CLE,NJN
19800123NYKPHO,1979,NYK,PHO
19800124LALPOR,1979,LAL,POR
19800124KCKUTA,1979,KCK,UTA
19800124NJNWSB,1979,NJN,WSB
19800125WSBBOS,1979,WSB,BOS
19800125KCKCHI,1979,KCK,CHI
19800125NYKGSW,1979,NYK,GSW
19800125SDCIND,1979,SDC,IND
19800125PHILAL,1979,PHI,LAL
19800125DETNJN,1979,DET,NJN
19800125MILPHO,1979,MIL,PHO
19800125SEASAS,1979,SEA,SAS
19800126CHIATL,1979,CHI,ATL
19800126INDCLE,1979,IND,CLE
19800126PORDEN,1979,POR,DEN
19800126SEAHOU,1979,SEA,HOU
19800126UTAKCK,1979,UTA,KCK
19800127SDCBOS,1979,SDC,BOS
19800127NYKDET,1979,NYK,DET
19800127CLEIND,1979,CLE,IND
19800127MILLAL,1979,MIL,LAL
19800127CHINJN,1979,CHI,NJN
19800127PHIPHO,1979,PHI,PHO
19800127ATLSAS,1979,ATL,SAS
19800127GSWWSB,1979,GSW,WSB
19800128GSWNYK,1979,GSW,NYK
19800128PHIUTA,1979,PHI,UTA
19800129WSBATL,1979,WSB,ATL
19800129BOSCHI,1979,BOS,CHI
19800129LALCLE,1979,LAL,CLE
19800129KCKDEN,1979,KCK,DEN
19800129GSWDET,1979,GSW,DET
19800129HOUIND,1979,HOU,IND
19800129MILPOR,1979,MIL,POR
19800129PHOSDC,1979,PHO,SDC
19800130CLEBOS,1979,CLE,BOS
19800130SASHOU,1979,SAS,HOU
19800130DETPHI,1979,DET,PHI
19800130DENPHO,1979,DEN,PHO
19800130KCKSEA,1979,KCK,SEA
19800130NJNUTA,1979,NJN,UTA
19800130INDWSB,1979,IND,WSB
19800131GSWATL,1979,GSW,ATL
19800131LALCHI,1979,LAL,CHI
19800131NJNDEN,1979,NJN,DEN
19800131PHIHOU,1979,PHI,HOU
19800131NYKIND,1979,NYK,IND
19800131KCKPOR,1979,KCK,POR
19800131MILSEA,1979,MIL,SEA
19800131BOSWSB,1979,BOS,WSB
19800205SEACLE,1979,SEA,CLE
19800205PHIIND,1979,PHI,IND
19800205PORKCK,1979,POR,KCK
19800205LALNYK,1979,LAL,NYK
19800205NJNSAS,1979,NJN,SAS
19800205CHIUTA,1979,CHI,UTA
19800206PHIBOS,1979,PHI,BOS
19800206CHIDEN,1979,CHI,DEN
19800206SDCGSW,1979,SDC,GSW
19800206NJNHOU,1979,NJN,HOU
19800206CLEMIL,1979,CLE,MIL
19800206KCKPHO,1979,KCK,PHO
19800207SEADET,1979,SEA,DET
19800207WSBIND,1979,WSB,IND
19800207ATLUTA,1979,ATL,UTA
19800208INDBOS,1979,IND,BOS
19800208PHOCHI,1979,PHO,CHI
19800208KCKGSW,1979,KCK,GSW
19800208CLEHOU,1979,CLE,HOU
19800208WSBMIL,1979,WSB,MIL
19800208LALNJN,1979,LAL,NJN
19800208SEAPHI,1979,SEA,PHI
19800208PORSDC,1979,POR,SDC
19800209SDCDEN,1979,SDC,DEN
19800209UTAHOU,1979,UTA,HOU
19800209SASIND,1979,SAS,IND
19800209DETNYK,1979,DET,NYK
19800210DETBOS,1979,DET,BOS
19800210CHICLE,1979,CHI,CLE
19800210ATLGSW,1979,ATL,GSW
19800210WSBKCK,1979,WSB,KCK
19800210PHOMIL,1979,PHO,MIL
19800210SEANJN,1979,SEA,NJN
19800210LALPHI,1979,LAL,PHI
19800210UTASAS,1979,UTA,SAS
19800212GSWCHI,1979,GSW,CHI
19800212WSBDEN,1979,WSB,DEN
19800212ATLPOR,1979,ATL,POR
19800212HOUSAS,1979,HOU,SAS
19800213CLEDET,1979,CLE,DET
19800213NYKHOU,1979,NYK,HOU
19800213NJNIND,1979,NJN,IND
19800213PORLAL,1979,POR,LAL
19800213CHIMIL,1979,CHI,MIL
19800213UTAPHI,1979,UTA,PHI
19800213BOSPHO,1979,BOS,PHO
19800213WSBSDC,1979,WSB,SDC
19800213ATLSEA,1979,ATL,SEA
19800214INDCLE,1979,IND,CLE
19800214GSWMIL,1979,GSW,MIL
19800214UTANJN,1979,UTA,NJN
19800214NYKSAS,1979,NYK,SAS
19800214DENSEA,1979,DEN,SEA
19800215SASCHI,1979,SAS,CHI
19800215ATLDEN,1979,ATL,DEN
19800215PHIDET,1979,PHI,DET
19800215MILHOU,1979,MIL,HOU
19800215GSWIND,1979,GSW,IND
19800215KCKLAL,1979,KCK,LAL
19800215WSBPHO,1979,WSB,PHO
19800215BOSPOR,1979,BOS,POR
19800216DETCLE,1979,DET,CLE
19800216UTANYK,1979,UTA,NYK
19800216CHIPHI,1979,CHI,PHI
19800217HOUDEN,1979,HOU,DEN
19800217ATLDET,1979,ATL,DET
19800217CHIIND,1979,CHI,IND
19800217WSBLAL,1979,WSB,LAL
19800217CLEPHI,1979,CLE,PHI
19800217NJNPHO,1979,NJN,PHO
19800217GSWPOR,1979,GSW,POR
19800217MILSAS,1979,MIL,SAS
19800217KCKSDC,1979,KCK,SDC
19800217BOSSEA,1979,BOS,SEA
19800219SEACHI,1979,SEA,CHI
19800219PHOCLE,1979,PHO,CLE
19800219PORNYK,1979,POR,NYK
19800219NJNSDC,1979,NJN,SDC
19800220MILATL,1979,MIL,ATL
19800220LALDEN,1979,LAL,DEN
19800220HOUGSW,1979,HOU,GSW
19800220NYKIND,1979,NYK,IND
19800220SEAKCK,1979,SEA,KCK
19800220CHISAS,1979,CHI,SAS
19800220BOSUTA,1979,BOS,UTA
19800221PHODET,1979,PHO,DET
19800221PHISDC,1979,PHI,SDC
19800221CLEWSB,1979,CLE,WSB
19800222PHOATL,1979,PHO,ATL
19800222DENGSW,1979,DEN,GSW
19800222NJNLAL,1979,NJN,LAL
19800222HOUUTA,1979,HOU,UTA
19800222SASWSB,1979,SAS,WSB
