gameid,gameid_num,away,home,tm,line,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
20141209MILOKC,0021400312,MIL,OKC,OKC,-600,total,,240,41,82,4,21,28,34,,15,39,54,23,28,10,20,6,2,114
20141209MIAPHX,0021400313,MIA,PHX,MIA,170,total,,240,43,80,9,17,8,12,,9,25,34,25,14,14,11,4,5,103
20141209MIAPHX,0021400313,MIA,PHX,PHX,-200,total,,240,37,77,17,35,6,9,,10,27,37,24,20,7,22,5,4,97
20141209SASUTA,0021400314,SAS,UTA,SAS,-550,total,,240,39,84,4,20,14,23,,11,26,37,23,21,12,13,8,7,96
20141209SASUTA,0021400314,SAS,UTA,UTA,425,total,,240,40,80,4,14,16,22,,8,35,43,18,23,5,18,7,8,100
20141209SACLAL,0021400315,SAC,LAL,SAC,140,total,,240,32,70,7,15,24,37,,9,39,48,20,25,3,16,3,6,95
20141209SACLAL,0021400315,SAC,LAL,LAL,-160,total,,240,38,96,5,25,17,25,,14,31,45,27,23,9,5,6,3,98
20141210BOSCHA,0021400316,BOS,CHA,BOS,130,total,,240,38,87,5,23,6,10,,6,39,45,26,27,3,14,1,3,87
20141210BOSCHA,0021400316,BOS,CHA,CHA,-150,total,,240,35,84,3,14,23,29,,7,37,44,18,14,5,10,3,1,96
20141210LACIND,0021400317,LAC,IND,LAC,-280,total,,240,42,88,7,24,12,14,,10,40,50,25,17,7,12,7,1,103
20141210LACIND,0021400317,LAC,IND,IND,240,total,,240,35,89,9,27,17,22,,12,31,43,27,18,6,11,1,7,96
20141210WASORL,0021400318,WAS,ORL,WAS,-220,total,,240,41,81,5,12,4,9,,8,33,41,26,13,5,9,5,7,91
20141210WASORL,0021400318,WAS,ORL,ORL,180,total,,240,38,84,7,15,6,9,,8,31,39,13,12,7,8,7,5,89
20141210PHIATL,0021400319,PHI,ATL,PHI,900,total,,240,30,72,6,25,13,22,,7,32,39,21,18,10,18,10,1,79
20141210PHIATL,0021400319,PHI,ATL,ATL,-1600,total,,240,38,91,10,30,9,13,,16,36,52,26,16,15,14,1,10,95
