gameid_num,gameid,away,home
0021300257,20131202NOPCHI,NOP,CHI
0021300258,20131202ATLSAS,ATL,SAS
0021300259,20131202HOUUTA,HOU,UTA
0021300260,20131202INDPOR,IND,POR
0021300261,20131203ORLPHI,ORL,PHI
0021300262,20131203MILBOS,MIL,BOS
0021300263,20131203DENBKN,DEN,BKN
0021300264,20131203DETMIA,DET,MIA
0021300265,20131203PHXMEM,PHX,MEM
0021300266,20131203CHADAL,CHA,DAL
0021300267,20131203OKCSAC,OKC,SAC
0021300268,20131203TORGSW,TOR,GSW
0021300269,20131204DENCLE,DEN,CLE
0021300270,20131204LACATL,LAC,ATL
0021300271,20131204PHXHOU,PHX,HOU
0021300272,20131204DETMIL,DET,MIL
0021300273,20131204DALNOP,DAL,NOP
0021300274,20131204INDUTA,IND,UTA
0021300276,20131204OKCPOR,OKC,POR
0021300277,20131205NYKBKN,NYK,BKN
0021300278,20131205LACMEM,LAC,MEM
0021300279,20131205MIACHI,MIA,CHI
0021300280,20131206PHICHA,PHI,CHA
0021300281,20131206MILWAS,MIL,WAS
0021300282,20131206CLEATL,CLE,ATL
0021300283,20131206DENBOS,DEN,BOS
0021300284,20131206ORLNYK,ORL,NYK
0021300285,20131206GSWHOU,GSW,HOU
0021300286,20131206OKCNOP,OKC,NOP
0021300287,20131206TORPHX,TOR,PHX
0021300288,20131206UTAPOR,UTA,POR
0021300289,20131206LALSAC,LAL,SAC
0021300290,20131207DENPHI,DEN,PHI
0021300291,20131207LACCLE,LAC,CLE
0021300292,20131207DETCHI,DET,CHI
0021300293,20131207GSWMEM,GSW,MEM
0021300294,20131207MIAMIN,MIA,MIN
0021300295,20131207BKNMIL,BKN,MIL
0021300296,20131207INDSAS,IND,SAS
0021300297,20131207SACUTA,SAC,UTA
0021300298,20131207DALPOR,DAL,POR
0021300299,20131208BOSNYK,BOS,NYK
0021300300,20131208MIADET,MIA,DET
0021300301,20131208ORLHOU,ORL,HOU
0021300302,20131208INDOKC,IND,OKC
0021300303,20131208TORLAL,TOR,LAL
0021300304,20131209GSWCHA,GSW,CHA
0021300305,20131209LACPHI,LAC,PHI
0021300306,20131209DENWAS,DEN,WAS
0021300307,20131209ORLMEM,ORL,MEM
0021300308,20131209PORUTA,POR,UTA
0021300309,20131209DALSAC,DAL,SAC
0021300310,20131210NYKCLE,NYK,CLE
0021300311,20131210MIAIND,MIA,IND
0021300312,20131210SASTOR,SAS,TOR
0021300313,20131210OKCATL,OKC,ATL
0021300314,20131210BOSBKN,BOS,BKN
0021300315,20131210MINDET,MIN,DET
0021300316,20131210MILCHI,MIL,CHI
0021300317,20131210PHXLAL,PHX,LAL
0021300318,20131211ORLCHA,ORL,CHA
0021300319,20131211LACBOS,LAC,BOS
0021300320,20131211OKCMEM,OKC,MEM
0021300321,20131211SASMIL,SAS,MIL
0021300322,20131211PHIMIN,PHI,MIN
0021300323,20131211DETNOP,DET,NOP
0021300324,20131211CHINYK,CHI,NYK
0021300325,20131211UTASAC,UTA,SAC
0021300326,20131211DALGSW,DAL,GSW
0021300327,20131212LACBKN,LAC,BKN
0021300328,20131212HOUPOR,HOU,POR
0021300329,20131213CHAIND,CHA,IND
0021300330,20131213CLEORL,CLE,ORL
0021300331,20131213PHITOR,PHI,TOR
0021300332,20131213WASATL,WAS,ATL
0021300333,20131213NYKBOS,NYK,BOS
0021300334,20131213BKNDET,BKN,DET
0021300335,20131213MEMNOP,MEM,NOP
0021300336,20131213LALOKC,LAL,OKC
0021300337,20131213CHIMIL,CHI,MIL
0021300338,20131213MINSAS,MIN,SAS
0021300339,20131213UTADEN,UTA,DEN
0021300340,20131213SACPHX,SAC,PHX
0021300341,20131213HOUGSW,HOU,GSW
0021300342,20131214LALCHA,LAL,CHA
0021300343,20131214LACWAS,LAC,WAS
0021300344,20131214CLEMIA,CLE,MIA
0021300345,20131214ATLNYK,ATL,NYK
0021300346,20131214TORCHI,TOR,CHI
0021300347,20131214PORPHI,POR,PHI
0021300348,20131214MILDAL,MIL,DAL
0021300349,20131214SASUTA,SAS,UTA
0021300350,20131215HOUSAC,HOU,SAC
0021300351,20131215MINMEM,MIN,MEM
0021300352,20131215PORDET,POR,DET
0021300353,20131215ORLOKC,ORL,OKC
0021300354,20131215NOPDEN,NOP,DEN
0021300355,20131215GSWPHX,GSW,PHX
0021300356,20131216DETIND,DET,IND
0021300357,20131216LALATL,LAL,ATL
0021300358,20131216MINBOS,MIN,BOS
0021300359,20131216PHIBKN,PHI,BKN
0021300360,20131216UTAMIA,UTA,MIA
0021300361,20131216WASNYK,WAS,NYK
0021300362,20131216ORLCHI,ORL,CHI
0021300363,20131216SASLAC,SAS,LAC
0021300364,20131217SACCHA,SAC,CHA
0021300365,20131217PORCLE,POR,CLE
0021300366,20131217LALMEM,LAL,MEM
0021300367,20131217OKCDEN,OKC,DEN
0021300368,20131217NOPGSW,NOP,GSW
0021300369,20131218INDMIA,IND,MIA
0021300370,20131218UTAORL,UTA,ORL
0021300371,20131218CHATOR,CHA,TOR
0021300372,20131218SACATL,SAC,ATL
0021300373,20131218DETBOS,DET,BOS
0021300374,20131218WASBKN,WAS,BKN
0021300375,20131218NYKMIL,NYK,MIL
0021300376,20131218PORMIN,POR,MIN
0021300377,20131218MEMDAL,MEM,DAL
0021300378,20131218SASPHX,SAS,PHX
0021300379,20131218CHIHOU,CHI,HOU
0021300380,20131218NOPLAC,NOP,LAC
0021300381,20131219CHIOKC,CHI,OKC
0021300382,20131219SASGSW,SAS,GSW
0021300383,20131220BKNPHI,BKN,PHI
0021300384,20131220UTAATL,UTA,ATL
0021300385,20131220MILCLE,MIL,CLE
0021300386,20131220CHADET,CHA,DET
0021300387,20131220SACMIA,SAC,MIA
0021300388,20131220HOUIND,HOU,IND
0021300389,20131220TORDAL,TOR,DAL
0021300390,20131220PHXDEN,PHX,DEN
0021300391,20131220MINLAL,MIN,LAL
0021300392,20131221MEMNYK,MEM,NYK
0021300393,20131221WASBOS,WAS,BOS
0021300394,20131221UTACHA,UTA,CHA
0021300395,20131221SACORL,SAC,ORL
0021300396,20131221HOUDET,HOU,DET
0021300397,20131221CLECHI,CLE,CHI
0021300398,20131221PHIMIL,PHI,MIL
0021300399,20131221OKCSAS,OKC,SAS
0021300400,20131221DALPHX,DAL,PHX
0021300401,20131221NOPPOR,NOP,POR
0021300402,20131221LALGSW,LAL,GSW
0021300403,20131221DENLAC,DEN,LAC
0021300404,20131222BOSIND,BOS,IND
0021300405,20131222TOROKC,TOR,OKC
0021300406,20131222MINLAC,MIN,LAC
0021300407,20131223MILCHA,MIL,CHA
0021300408,20131223DETCLE,DET,CLE
0021300409,20131223NYKORL,NYK,ORL
0021300410,20131223INDBKN,IND,BKN
0021300411,20131223ATLMIA,ATL,MIA
0021300412,20131223DALHOU,DAL,HOU
0021300413,20131223UTAMEM,UTA,MEM
0021300414,20131223TORSAS,TOR,SAS
0021300415,20131223GSWDEN,GSW,DEN
0021300416,20131223LALPHX,LAL,PHX
0021300417,20131223NOPSAC,NOP,SAC
0021300418,20131225CHIBKN,CHI,BKN
0021300419,20131225OKCNYK,OKC,NYK
0021300420,20131225MIALAL,MIA,LAL
0021300421,20131225HOUSAS,HOU,SAS
0021300422,20131225LACGSW,LAC,GSW
0021300423,20131226ATLCLE,ATL,CLE
0021300424,20131226MEMHOU,MEM,HOU
0021300425,20131226SASDAL,SAS,DAL
0021300426,20131226LACPOR,LAC,POR
0021300427,20131227OKCCHA,OKC,CHA
0021300428,20131227DETORL,DET,ORL
0021300429,20131227MILBKN,MIL,BKN
0021300430,20131227TORNYK,TOR,NYK
0021300431,20131227WASMIN,WAS,MIN
0021300432,20131227DENNOP,DEN,NOP
0021300433,20131227LALUTA,LAL,UTA
0021300434,20131227MIASAC,MIA,SAC
0021300435,20131227PHXGSW,PHX,GSW
0021300436,20131228CLEBOS,CLE,BOS
0021300437,20131228BKNIND,BKN,IND
0021300438,20131228NYKTOR,NYK,TOR
0021300439,20131228DETWAS,DET,WAS
0021300440,20131228CHAATL,CHA,ATL
0021300441,20131228DALCHI,DAL,CHI
0021300442,20131228NOPHOU,NOP,HOU
0021300443,20131228DENMEM,DEN,MEM
0021300444,20131228MINMIL,MIN,MIL
0021300445,20131228PHIPHX,PHI,PHX
0021300446,20131228MIAPOR,MIA,POR
0021300447,20131228UTALAC,UTA,LAC
0021300448,20131229GSWCLE,GSW,CLE
0021300449,20131229ATLORL,ATL,ORL
0021300450,20131229HOUOKC,HOU,OKC
0021300451,20131229SACSAS,SAC,SAS
0021300452,20131229PHILAL,PHI,LAL
0021300453,20131230WASDET,WAS,DET
0021300454,20131230CHIMEM,CHI,MEM
0021300455,20131230DALMIN,DAL,MIN
0021300456,20131230PORNOP,POR,NOP
0021300457,20131230MIADEN,MIA,DEN
0021300458,20131230CHAUTA,CHA,UTA
0021300459,20131230PHXLAC,PHX,LAC
0021300460,20131231ATLBOS,ATL,BOS
0021300461,20131231CLEIND,CLE,IND
0021300462,20131231GSWORL,GSW,ORL
0021300463,20131231TORCHI,TOR,CHI
0021300464,20131231SACHOU,SAC,HOU
0021300465,20131231BKNSAS,BKN,SAS
0021300466,20131231POROKC,POR,OKC
0021300467,20131231MILLAL,MIL,LAL
0021300468,20140101DALWAS,DAL,WAS
0021300469,20140101INDTOR,IND,TOR
0021300470,20140101NOPMIN,NOP,MIN
0021300471,20140101PHIDEN,PHI,DEN
0021300472,20140101CHALAC,CHA,LAC
0021300473,20140102ORLCLE,ORL,CLE
0021300474,20140102GSWMIA,GSW,MIA
0021300475,20140102BOSCHI,BOS,CHI
0021300476,20140102BKNOKC,BKN,OKC
