gameid,season,away,home
20051130INDPHX,2005,IND,PHX
20051130CHASEA,2005,CHA,SEA
20051130MEMTOR,2005,MEM,TOR
20051130PORWAS,2005,POR,WAS
20051201SASDAL,2005,SAS,DAL
20051201LALUTA,2005,LAL,UTA
20051202TORATL,2005,TOR,ATL
20051202CHIBOS,2005,CHI,BOS
20051202NYKDET,2005,NYK,DET
20051202CHAGSW,2005,CHA,GSW
20051202MINLAL,2005,MIN,LAL
20051202ORLMEM,2005,ORL,MEM
20051202PHINOK,2005,PHI,NOK
20051202DENPHX,2005,DEN,PHX
20051202INDPOR,2005,IND,POR
20051202MIASAC,2005,MIA,SAC
20051202CLESEA,2005,CLE,SEA
20051202MILWAS,2005,MIL,WAS
20051203DETCHI,2005,DET,CHI
20051203NOKDAL,2005,NOK,DAL
20051203MIADEN,2005,MIA,DEN
20051203MEMHOU,2005,MEM,HOU
20051203CLELAC,2005,CLE,LAC
20051203ORLMIL,2005,ORL,MIL
20051203TORNJN,2005,TOR,NJN
20051203PHISAS,2005,PHI,SAS
20051204CHALAL,2005,CHA,LAL
20051204BOSNYK,2005,BOS,NYK
20051204ATLPHX,2005,ATL,PHX
20051204UTAPOR,2005,UTA,POR
20051204MINSAC,2005,MIN,SAC
20051204INDSEA,2005,IND,SEA
20051205DALCHI,2005,DAL,CHI
20051205MIALAC,2005,MIA,LAC
20051205SASORL,2005,SAS,ORL
20051205MINUTA,2005,MIN,UTA
20051206ATLDEN,2005,ATL,DEN
20051206BOSHOU,2005,BOS,HOU
20051206DALIND,2005,DAL,IND
20051206NOKMEM,2005,NOK,MEM
20051206LALMIL,2005,LAL,MIL
20051206PORPHX,2005,POR,PHX
20051206CLESAC,2005,CLE,SAC
20051206NYKSEA,2005,NYK,SEA
20051206TORWAS,2005,TOR,WAS
20051207NJNCHA,2005,NJN,CHA
20051207PHXGSW,2005,PHX,GSW
20051207NYKLAC,2005,NYK,LAC
20051207BOSNOK,2005,BOS,NOK
20051207CHIORL,2005,CHI,ORL
20051207MILPHI,2005,MIL,PHI
20051207MINPOR,2005,MIN,POR
20051207MIASAS,2005,MIA,SAS
20051207LALTOR,2005,LAL,TOR
20051207ATLUTA,2005,ATL,UTA
20051208WASIND,2005,WAS,IND
20051208HOUSAC,2005,HOU,SAC
20051209LALCHI,2005,LAL,CHI
20051209NJNCLE,2005,NJN,CLE
20051209DETGSW,2005,DET,GSW
20051209DALMEM,2005,DAL,MEM
20051209DENMIA,2005,DEN,MIA
20051209CHAPHI,2005,CHA,PHI
20051209NYKPHX,2005,NYK,PHX
20051209NOKPOR,2005,NOK,POR
20051209BOSSAS,2005,BOS,SAS
20051209SEAUTA,2005,SEA,UTA
20051210SASATL,2005,SAS,ATL
20051210TORCHA,2005,TOR,CHA
20051210BOSDAL,2005,BOS,DAL
20051210MEMIND,2005,MEM,IND
20051210PHXLAC,2005,PHX,LAC
20051210CLEMIL,2005,CLE,MIL
20051210LALMIN,2005,LAL,MIN
20051210PHINJN,2005,PHI,NJN
20051210DENORL,2005,DEN,ORL
20051210SACSEA,2005,SAC,SEA
20051210CHIWAS,2005,CHI,WAS
20051211DETLAC,2005,DET,LAC
20051211WASMIA,2005,WAS,MIA
20051211HOUPOR,2005,HOU,POR
20051211NOKSAC,2005,NOK,SAC
20051212LALDAL,2005,LAL,DAL
20051212MILNYK,2005,MIL,NYK
20051212MINPHI,2005,MIN,PHI
20051212NOKPHX,2005,NOK,PHX
20051212DETUTA,2005,DET,UTA
20051213DENCHA,2005,DEN,CHA
20051213MIACHI,2005,MIA,CHI
20051213ATLCLE,2005,ATL,CLE
20051213SACMIN,2005,SAC,MIN
20051213LACSAS,2005,LAC,SAS
20051213GSWSEA,2005,GSW,SEA
20051213NJNWAS,2005,NJN,WAS
20051214INDBOS,2005,IND,BOS
20051214PHXDAL,2005,PHX,DAL
20051214SACDET,2005,SAC,DET
20051214HOUGSW,2005,HOU,GSW
20051214LALMEM,2005,LAL,MEM
20051214MIAMIL,2005,MIA,MIL
20051214CHANJN,2005,CHA,NJN
20051214LACNOK,2005,LAC,NOK
20051214ORLNYK,2005,ORL,NYK
20051214ATLPHI,2005,ATL,PHI
20051214CHITOR,2005,CHI,TOR
20051214PORUTA,2005,POR,UTA
20051215DENCLE,2005,DEN,CLE
20051215SASMIN,2005,SAS,MIN
20051215HOUSEA,2005,HOU,SEA
20051216NYKATL,2005,NYK,ATL
20051216MILBOS,2005,MIL,BOS
20051216ORLDAL,2005,ORL,DAL
20051216CHIDET,2005,CHI,DET
20051216UTAIND,2005,UTA,IND
20051216WASLAL,2005,WAS,LAL
20051216DENNJN,2005,DEN,NJN
20051216PHXNOK,2005,PHX,NOK
20051216MIAPHI,2005,MIA,PHI
20051216SEAPOR,2005,SEA,POR
20051216GSWTOR,2005,GSW,TOR
20051217DETCHA,2005,DET,CHA
20051217BOSCHI,2005,BOS,CHI
20051217MIACLE,2005,MIA,CLE
20051217HOULAC,2005,HOU,LAC
20051217PHXMEM,2005,PHX,MEM
20051217UTAMIL,2005,UTA,MIL
20051217INDNYK,2005,IND,NYK
20051217SACSAS,2005,SAC,SAS
20051218DENATL,2005,DEN,ATL
20051218MINDAL,2005,MIN,DAL
20051218HOULAL,2005,HOU,LAL
20051218GSWNJN,2005,GSW,NJN
20051218SASNOK,2005,SAS,NOK
20051218WASPOR,2005,WAS,POR
20051218PHITOR,2005,PHI,TOR
20051219GSWBOS,2005,GSW,BOS
20051219SACCHA,2005,SAC,CHA
20051219DETMEM,2005,DET,MEM
20051219TORORL,2005,TOR,ORL
20051219WASSEA,2005,WAS,SEA
20051220CHACHI,2005,CHA,CHI
20051220UTACLE,2005,UTA,CLE
20051220PORDET,2005,POR,DET
20051220DALLAL,2005,DAL,LAL
20051220ATLMIA,2005,ATL,MIA
20051220SASMIL,2005,SAS,MIL
20051220LACNJN,2005,LAC,NJN
20051220SEAPHX,2005,SEA,PHX
20051221UTABOS,2005,UTA,BOS
20051221WASDEN,2005,WAS,DEN
20051221TORHOU,2005,TOR,HOU
20051221LACIND,2005,LAC,IND
20051221PORMEM,2005,POR,MEM
20051221NOKMIN,2005,NOK,MIN
20051221SASNYK,2005,SAS,NYK
20051221NJNORL,2005,NJN,ORL
20051221GSWPHI,2005,GSW,PHI
20051222CLECHI,2005,CLE,CHI
20051222DALSAC,2005,DAL,SAC
20051223PHIATL,2005,PHI,ATL
20051223LACCHA,2005,LAC,CHA
20051223INDCLE,2005,IND,CLE
20051223HOUDEN,2005,HOU,DEN
20051223GSWDET,2005,GSW,DET
20051223CHIMEM,2005,CHI,MEM
20051223NJNMIA,2005,NJN,MIA
20051223NOKMIL,2005,NOK,MIL
20051223PORMIN,2005,POR,MIN
20051223UTANYK,2005,UTA,NYK
20051223LALORL,2005,LAL,ORL
20051223WASPHX,2005,WAS,PHX
20051223TORSAS,2005,TOR,SAS
20051223DALSEA,2005,DAL,SEA
20051225SASDET,2005,SAS,DET
20051225LALMIA,2005,LAL,MIA
20051226CHICLE,2005,CHI,CLE
20051226INDDAL,2005,IND,DAL
20051226DENGSW,2005,DEN,GSW
20051226PHXMIN,2005,PHX,MIN
20051226NJNNYK,2005,NJN,NYK
20051226MILORL,2005,MIL,ORL
20051226PORSAC,2005,POR,SAC
20051226BOSSEA,2005,BOS,SEA
20051226MEMUTA,2005,MEM,UTA
20051226LALWAS,2005,LAL,WAS
20051227CHAATL,2005,CHA,ATL
20051227PHIDEN,2005,PHI,DEN
20051227TORDET,2005,TOR,DET
20051227UTAHOU,2005,UTA,HOU
20051227SACLAC,2005,SAC,LAC
20051227MILMIA,2005,MIL,MIA
20051227CLENJN,2005,CLE,NJN
20051227INDSAS,2005,IND,SAS
20051228CHICHA,2005,CHI,CHA
20051228BOSGSW,2005,BOS,GSW
20051228MEMLAL,2005,MEM,LAL
20051228SEAMIN,2005,SEA,MIN
20051228HOUNOK,2005,HOU,NOK
20051228NYKORL,2005,NYK,ORL
20051228PHIPOR,2005,PHI,POR
20051228ATLTOR,2005,ATL,TOR
20051228PHXWAS,2005,PHX,WAS
20051229SEADEN,2005,SEA,DEN
20051229MIADET,2005,MIA,DET
20051229NOKSAS,2005,NOK,SAS
20051230PHXCHA,2005,PHX,CHA
20051230GSWDAL,2005,GSW,DAL
20051230TORIND,2005,TOR,IND
20051230NYKMIL,2005,NYK,MIL
20051230ATLNJN,2005,ATL,NJN
20051230MINORL,2005,MIN,ORL
20051230MEMPOR,2005,MEM,POR
20051230BOSSAC,2005,BOS,SAC
20051230MIAWAS,2005,MIA,WAS
20051231PHXCHI,2005,PHX,CHI
20051231DETCLE,2005,DET,CLE
20051231SASDEN,2005,SAS,DEN
20051231GSWHOU,2005,GSW,HOU
20051231BOSLAC,2005,BOS,LAC
20051231DALNOK,2005,DAL,NOK
20051231MEMSEA,2005,MEM,SEA
20051231PHIUTA,2005,PHI,UTA
20060101UTALAL,2005,UTA,LAL
20060101MINMIA,2005,MIN,MIA
20060101LACPOR,2005,LAC,POR
20060102MILCHI,2005,MIL,CHI
20060102BOSDEN,2005,BOS,DEN
20060102SEAIND,2005,SEA,IND
20060102CHANOK,2005,CHA,NOK
20060102PHXNYK,2005,PHX,NYK
20060103TORATL,2005,TOR,ATL
20060103PORDAL,2005,POR,DAL
20060103ORLDET,2005,ORL,DET
20060103GSWMEM,2005,GSW,MEM
20060103PHISAC,2005,PHI,SAC
20060103LALUTA,2005,LAL,UTA
20060103HOUWAS,2005,HOU,WAS
20060104CHABOS,2005,CHA,BOS
20060104SEACHI,2005,SEA,CHI
20060104INDDEN,2005,IND,DEN
20060104CLEMIL,2005,CLE,MIL
20060104DALMIN,2005,DAL,MIN
20060104MIANOK,2005,MIA,NOK
20060104PHIPHX,2005,PHI,PHX
20060104PORSAS,2005,POR,SAS
20060104ORLTOR,2005,ORL,TOR
20060105HOUCLE,2005,HOU,CLE
20060105INDGSW,2005,IND,GSW
20060106ATLBOS,2005,ATL,BOS
20060106DALDEN,2005,DAL,DEN
20060106SEADET,2005,SEA,DET
20060106PHILAL,2005,PHI,LAL
20060106UTAMEM,2005,UTA,MEM
20060106CHIMIL,2005,CHI,MIL
20060106ORLNJN,2005,ORL,NJN
20060106PORNOK,2005,POR,NOK
20060106WASNYK,2005,WAS,NYK
20060106MIAPHX,2005,MIA,PHX
20060106LACSAC,2005,LAC,SAC
20060106MINSAS,2005,MIN,SAS
20060106HOUTOR,2005,HOU,TOR
20060107NOKATL,2005,NOK,ATL
20060107MEMCHI,2005,MEM,CHI
20060107MILCLE,2005,MIL,CLE
20060107MINDAL,2005,MIN,DAL
20060107UTADET,2005,UTA,DET
20060107LALLAC,2005,LAL,LAC
20060107CHAORL,2005,CHA,ORL
20060107SASPHX,2005,SAS,PHX
20060107BOSWAS,2005,BOS,WAS
20060108DENHOU,2005,DEN,HOU
20060108SEANYK,2005,SEA,NYK
20060108MIAPOR,2005,MIA,POR
20060108INDSAC,2005,IND,SAC
20060108NJNTOR,2005,NJN,TOR
20060109DALBOS,2005,DAL,BOS
20060109TORCHI,2005,TOR,CHI
20060109INDLAL,2005,IND,LAL
20060109SEAPHI,2005,SEA,PHI
20060109UTAWAS,2005,UTA,WAS
20060110BOSATL,2005,BOS,ATL
20060110HOUCHA,2005,HOU,CHA
20060110NYKCLE,2005,NYK,CLE
20060110PHXDEN,2005,PHX,DEN
20060110ORLLAC,2005,ORL,LAC
20060110SACMEM,2005,SAC,MEM
20060110MINMIL,2005,MIN,MIL
20060110DETNOK,2005,DET,NOK
20060110NJNSAS,2005,NJN,SAS
20060111MIAGSW,2005,MIA,GSW
