gameid,away,home,nprds
20141203LALWAS,LAL,WAS,4
20141203DETBOS,DET,BOS,5
20141203SASBKN,SAS,BKN,5
20141203ATLMIA,ATL,MIA,4
20141203MEMHOU,MEM,HOU,4
20141203DALMIL,DAL,MIL,4
20141203PHIMIN,PHI,MIN,4
20141203TORUTA,TOR,UTA,4
20141203ORLLAC,ORL,LAC,4
20141204CLENYK,CLE,NYK,4
20141204INDPOR,IND,POR,4
20141204NOPGSW,NOP,GSW,4
20141205NYKCHA,NYK,CHA,4
20141205OKCPHI,OKC,PHI,4
20141205DENWAS,DEN,WAS,4
20141205LALBOS,LAL,BOS,4
20141205ATLBKN,ATL,BKN,4
20141205CLETOR,CLE,TOR,4
20141205SASMEM,SAS,MEM,4
20141205HOUMIN,HOU,MIN,5
20141205PHXDAL,PHX,DAL,4
20141205MIAMIL,MIA,MIL,4
20141205ORLUTA,ORL,UTA,4
20141205INDSAC,IND,SAC,5
20141206PHIDET,PHI,DET,5
20141206GSWCHI,GSW,CHI,4
20141206PHXHOU,PHX,HOU,4
20141206MINSAS,MIN,SAS,4
20141206ORLSAC,ORL,SAC,4
20141206NOPLAC,NOP,LAC,4
20141207WASBOS,WAS,BOS,4
20141207DENATL,DEN,ATL,4
20141207MIAMEM,MIA,MEM,4
20141207OKCDET,OKC,DET,4
20141207MILDAL,MIL,DAL,4
20141207PORNYK,POR,NYK,4
20141207NOPLAL,NOP,LAL,4
20141208ATLIND,ATL,IND,4
20141208BOSWAS,BOS,WAS,6
20141208CLEBKN,CLE,BKN,4
20141208DENTOR,DEN,TOR,5
20141208GSWMIN,GSW,MIN,4
20141208UTASAC,UTA,SAC,4
20141208PHXLAC,PHX,LAC,5
20141209TORCLE,TOR,CLE,4
20141209PORDET,POR,DET,4
20141209DALMEM,DAL,MEM,4
20141209NYKNOP,NYK,NOP,4
20141209MILOKC,MIL,OKC,4
20141209MIAPHX,MIA,PHX,4
20141209SASUTA,SAS,UTA,4
20141209SACLAL,SAC,LAL,4
20141210BOSCHA,BOS,CHA,4
20141210LACIND,LAC,IND,4
20141210WASORL,WAS,ORL,4
20141210PHIATL,PHI,ATL,4
20141210BKNCHI,BKN,CHI,4
20141210PORMIN,POR,MIN,4
20141210NYKSAS,NYK,SAS,4
20141210NOPDAL,NOP,DAL,4
20141210HOUGSW,HOU,GSW,4
20141210MIADEN,MIA,DEN,4
20141211CLEOKC,CLE,OKC,4
20141211HOUSAC,HOU,SAC,5
20141212PORCHI,POR,CHI,4
20141212LACWAS,LAC,WAS,4
20141212ORLATL,ORL,ATL,4
20141212NYKBOS,NYK,BOS,4
20141212PHIBKN,PHI,BKN,4
20141212INDTOR,IND,TOR,4
20141212CHAMEM,CHA,MEM,6
20141212OKCMIN,OKC,MIN,4
20141212CLENOP,CLE,NOP,4
20141212DETPHX,DET,PHX,4
20141212MIAUTA,MIA,UTA,4
20141212LALSAS,LAL,SAS,5
20141213GSWDAL,GSW,DAL,4
20141213BKNCHA,BKN,CHA,4
20141213PORIND,POR,IND,4
20141213ATLORL,ATL,ORL,4
20141213LACMIL,LAC,MIL,4
20141213MEMPHI,MEM,PHI,5
20141213DENHOU,DEN,HOU,4
20141213DETSAC,DET,SAC,4
20141214GSWNOP,GSW,NOP,5
20141214CHIMIA,CHI,MIA,4
20141214UTAWAS,UTA,WAS,4
20141214LALMIN,LAL,MIN,4
20141214PHXOKC,PHX,OKC,4
20141214TORNYK,TOR,NYK,5
20141214SASDEN,SAS,DEN,4
20141215CHACLE,CHA,CLE,4
20141215LALIND,LAL,IND,4
20141215BOSPHI,BOS,PHI,4
20141215CHIATL,CHI,ATL,4
20141215ORLTOR,ORL,TOR,4
20141215MILPHX,MIL,PHX,4
20141215SASPOR,SAS,POR,4
20141215DETLAC,DET,LAC,4
20141216MINWAS,MIN,WAS,4
20141216MIABKN,MIA,BKN,4
20141216GSWMEM,GSW,MEM,4
20141216UTANOP,UTA,NOP,4
20141216DALNYK,DAL,NYK,4
20141216OKCSAC,OKC,SAC,4
20141217PHXCHA,PHX,CHA,4
20141217ATLCLE,ATL,CLE,4
20141217ORLBOS,ORL,BOS,4
20141217DALDET,DAL,DET,4
20141217UTAMIA,UTA,MIA,4
20141217BKNTOR,BKN,TOR,4
20141217MEMSAS,MEM,SAS,7
20141217MILPOR,MIL,POR,4
20141217INDLAC,IND,LAC,4
20141217HOUDEN,HOU,DEN,5
20141218NYKCHI,NYK,CHI,4
20141218NOPHOU,NOP,HOU,4
20141218MILSAC,MIL,SAC,4
20141218OKCGSW,OKC,GSW,4
20141219UTAORL,UTA,ORL,4
20141219CHAPHI,CHA,PHI,4
20141219MINBOS,MIN,BOS,4
20141219BKNCLE,BKN,CLE,4
20141219TORDET,TOR,DET,4
20141219WASMIA,WAS,MIA,4
20141219CHIMEM,CHI,MEM,4
20141219PORSAS,POR,SAS,7
20141219LACDEN,LAC,DEN,4
20141219OKCLAL,OKC,LAL,4
20141220PHXNYK,PHX,NYK,4
20141220PORNOP,POR,NOP,4
20141220UTACHA,UTA,CHA,4
20141220ATLHOU,ATL,HOU,4
20141220SASDAL,SAS,DAL,4
20141220INDDEN,IND,DEN,4
20141220MILLAC,MIL,LAC,4
20141221NYKTOR,NYK,TOR,4
20141221MEMCLE,MEM,CLE,4
20141221LALSAC,LAL,SAC,4
20141221DETBKN,DET,BKN,4
20141221BOSMIA,BOS,MIA,4
20141221PHIORL,PHI,ORL,4
20141221PHXWAS,PHX,WAS,4
20141221INDMIN,IND,MIN,4
20141221NOPOKC,NOP,OKC,4
20141222DENCHA,DEN,CHA,4
20141222TORCHI,TOR,CHI,4
20141222PORHOU,POR,HOU,4
20141222UTAMEM,UTA,MEM,4
20141222ATLDAL,ATL,DAL,4
20141222LACSAS,LAC,SAS,4
20141222SACGSW,SAC,GSW,4
20141223MINCLE,MIN,CLE,4
20141223NOPIND,NOP,IND,4
20141223BOSORL,BOS,ORL,4
20141223CHIWAS,CHI,WAS,4
20141223LACATL,LAC,ATL,4
20141223DENBKN,DEN,BKN,4
20141223PHIMIA,PHI,MIA,4
20141223CHAMIL,CHA,MIL,4
20141223POROKC,POR,OKC,5
20141223DALPHX,DAL,PHX,4
20141223GSWLAL,GSW,LAL,4
20141225WASNYK,WAS,NYK,4
20141225OKCSAS,OKC,SAS,4
20141225CLEMIA,CLE,MIA,4
20141225LALCHI,LAL,CHI,4
20141225GSWLAC,GSW,LAC,4
20141226BKNBOS,BKN,BOS,4
20141226CLEORL,CLE,ORL,4
20141226MILATL,MIL,ATL,4
20141226INDDET,IND,DET,4
20141226HOUMEM,HOU,MEM,5
20141226SASNOP,SAS,NOP,4
20141226CHAOKC,CHA,OKC,4
20141226LALDAL,LAL,DAL,4
20141226MINDEN,MIN,DEN,4
20141226PHIPOR,PHI,POR,4
20141226PHXSAC,PHX,SAC,4
20141227TORLAC,TOR,LAC,4
20141227ORLCHA,ORL,CHA,4
20141227BOSWAS,BOS,WAS,4
20141227MEMMIA,MEM,MIA,4
20141227NOPCHI,NOP,CHI,4
20141227INDBKN,IND,BKN,4
20141227ATLMIL,ATL,MIL,4
20141227PHIUTA,PHI,UTA,4
20141227NYKSAC,NYK,SAC,5
20141227MINGSW,MIN,GSW,4
20141228DETCLE,DET,CLE,4
20141228HOUSAS,HOU,SAS,4
20141228OKCDAL,OKC,DAL,4
20141228NYKPOR,NYK,POR,4
20141228TORDEN,TOR,DEN,4
20141228PHXLAL,PHX,LAL,4
20141229MILCHA,MIL,CHA,5
20141229CHIIND,CHI,IND,4
20141229SACBKN,SAC,BKN,4
20141229ORLMIA,ORL,MIA,4
20141229WASHOU,WAS,HOU,4
20141229UTALAC,UTA,LAC,4
20141230DETORL,DET,ORL,4
20141230CLEATL,CLE,ATL,4
20141230BKNCHI,BKN,CHI,4
20141230SASMEM,SAS,MEM,4
20141230PHXNOP,PHX,NOP,4
20141230WASDAL,WAS,DAL,4
20141230LALDEN,LAL,DEN,4
20141230MINUTA,MIN,UTA,4
20141230TORPOR,TOR,POR,5
20141230PHIGSW,PHI,GSW,4
20141231SACBOS,SAC,BOS,4
20141231MIAIND,MIA,IND,4
20141231NYKLAC,NYK,LAC,4
20141231CHAHOU,CHA,HOU,4
20141231MILCLE,MIL,CLE,4
20141231PHXOKC,PHX,OKC,5
20141231NOPSAS,NOP,SAS,5
20150101DENCHI,DEN,CHI,4
20150101SACMIN,SAC,MIN,4
20150102CLECHA,CLE,CHA,4
20150102BKNORL,BKN,ORL,4
20150102DALBOS,DAL,BOS,4
20150102DETNYK,DET,NYK,4
20150102HOUNOP,HOU,NOP,4
20150102WASOKC,WAS,OKC,4
20150102INDMIL,IND,MIL,4
20150102PHIPHX,PHI,PHX,4
20150102ATLUTA,ATL,UTA,4
20150102TORGSW,TOR,GSW,4
20150102MEMLAL,MEM,LAL,4
20150103CHAORL,CHA,ORL,4
20150103BOSCHI,BOS,CHI,5
20150103MIAHOU,MIA,HOU,4
20150103UTAMIN,UTA,MIN,4
20150103WASSAS,WAS,SAS,4
20150103MEMDEN,MEM,DEN,4
20150103ATLPOR,ATL,POR,4
20150103PHILAC,PHI,LAC,4
20150104DALCLE,DAL,CLE,4
20150104SACDET,SAC,DET,4
20150104BKNMIA,BKN,MIA,4
20150104MILNYK,MIL,NYK,4
20150104TORPHX,TOR,PHX,4
20150104INDLAL,IND,LAL,4
20150105CLEPHI,CLE,PHI,4
20150105CHABOS,CHA,BOS,4
20150105DALBKN,DAL,BKN,5
20150105HOUCHI,HOU,CHI,4
20150105NYKMEM,NYK,MEM,4
20150105DENMIN,DEN,MIN,4
20150105WASNOP,WAS,NOP,4
20150105INDUTA,IND,UTA,4
20150105LALPOR,LAL,POR,4
20150105OKCGSW,OKC,GSW,4
20150105ATLLAC,ATL,LAC,4
20150106PHXMIL,PHX,MIL,4
