gameid,season,away,home
20091213CLEOKC,2009,CLE,OKC
20091213HOUTOR,2009,HOU,TOR
20091214NOHDAL,2009,NOH,DAL
20091214OKCDEN,2009,OKC,DEN
20091214WASLAC,2009,WAS,LAC
20091214BOSMEM,2009,BOS,MEM
20091214INDORL,2009,IND,ORL
20091214GSWPHI,2009,GSW,PHI
20091214MINUTA,2009,MIN,UTA
20091215NYKCHA,2009,NYK,CHA
20091215LALCHI,2009,LAL,CHI
20091215NJNCLE,2009,NJN,CLE
20091215DETHOU,2009,DET,HOU
20091215TORMIA,2009,TOR,MIA
20091215SASPHX,2009,SAS,PHX
20091215SACPOR,2009,SAC,POR
20091216MEMATL,2009,MEM,ATL
20091216HOUDEN,2009,HOU,DEN
20091216SASGSW,2009,SAS,GSW
20091216CHAIND,2009,CHA,IND
20091216LALMIL,2009,LAL,MIL
20091216LACMIN,2009,LAC,MIN
20091216UTANJN,2009,UTA,NJN
20091216DETNOH,2009,DET,NOH
20091216DALOKC,2009,DAL,OKC
20091216TORORL,2009,TOR,ORL
20091216CLEPHI,2009,CLE,PHI
20091216WASSAC,2009,WAS,SAC
20091217NYKCHI,2009,NYK,CHI
20091217ORLMIA,2009,ORL,MIA
20091217PHXPOR,2009,PHX,POR
20091218UTAATL,2009,UTA,ATL
20091218PHIBOS,2009,PHI,BOS
20091218MILCLE,2009,MIL,CLE
20091218HOUDAL,2009,HOU,DAL
20091218WASGSW,2009,WAS,GSW
20091218INDMEM,2009,IND,MEM
20091218SACMIN,2009,SAC,MIN
20091218DENNOH,2009,DEN,NOH
20091218LACNYK,2009,LAC,NYK
20091218DETOKC,2009,DET,OKC
20091218NJNTOR,2009,NJN,TOR
20091219UTACHA,2009,UTA,CHA
20091219ATLCHI,2009,ATL,CHI
20091219OKCHOU,2009,OKC,HOU
20091219SACMIL,2009,SAC,MIL
20091219LALNJN,2009,LAL,NJN
20091219PORORL,2009,POR,ORL
20091219LACPHI,2009,LAC,PHI
20091219WASPHX,2009,WAS,PHX
20091219INDSAS,2009,IND,SAS
20091220MINBOS,2009,MIN,BOS
20091220CLEDAL,2009,CLE,DAL
20091220LALDET,2009,LAL,DET
20091220DENMEM,2009,DEN,MEM
20091220PORMIA,2009,POR,MIA
20091220CHANYK,2009,CHA,NYK
20091220NOHTOR,2009,NOH,TOR
20091221SACCHI,2009,SAC,CHI
20091221MILIND,2009,MIL,IND
20091221UTAORL,2009,UTA,ORL
20091221CLEPHX,2009,CLE,PHX
20091221LACSAS,2009,LAC,SAS
20091222INDBOS,2009,IND,BOS
20091222DETCHA,2009,DET,CHA
20091222PORDAL,2009,POR,DAL
20091222LACHOU,2009,LAC,HOU
20091222OKCLAL,2009,OKC,LAL
20091222GSWMEM,2009,GSW,MEM
20091222ATLMIN,2009,ATL,MIN
20091222CHINYK,2009,CHI,NYK
20091222PHIWAS,2009,PHI,WAS
20091223ATLDEN,2009,ATL,DEN
20091223TORDET,2009,TOR,DET
20091223UTAMIA,2009,UTA,MIA
20091223WASMIL,2009,WAS,MIL
20091223MINNJN,2009,MIN,NJN
20091223GSWNOH,2009,GSW,NOH
20091223HOUORL,2009,HOU,ORL
20091223OKCPHX,2009,OKC,PHX
20091223CLESAC,2009,CLE,SAC
20091223PORSAS,2009,POR,SAS
20091225CLELAL,2009,CLE,LAL
20091225MIANYK,2009,MIA,NYK
20091225BOSORL,2009,BOS,ORL
20091225LACPHX,2009,LAC,PHX
20091225DENPOR,2009,DEN,POR
20091226NOHCHI,2009,NOH,CHI
20091226MEMDAL,2009,MEM,DAL
20091226PHXGSW,2009,PHX,GSW
20091226ATLIND,2009,ATL,IND
20091226SASMIL,2009,SAS,MIL
20091226WASMIN,2009,WAS,MIN
20091226HOUNJN,2009,HOU,NJN
20091226CHAOKC,2009,CHA,OKC
20091226LALSAC,2009,LAL,SAC
20091226PHIUTA,2009,PHI,UTA
20091227HOUCLE,2009,HOU,CLE
20091227DALDEN,2009,DAL,DEN
20091227BOSLAC,2009,BOS,LAC
20091227INDMIA,2009,IND,MIA
20091227SASNYK,2009,SAS,NYK
20091227DETTOR,2009,DET,TOR
20091228MILCHA,2009,MIL,CHA
20091228BOSGSW,2009,BOS,GSW
20091228WASMEM,2009,WAS,MEM
20091228OKCNJN,2009,OKC,NJN
20091228LALPHX,2009,LAL,PHX
20091228PHIPOR,2009,PHI,POR
20091228DENSAC,2009,DEN,SAC
20091229CLEATL,2009,CLE,ATL
20091229INDCHI,2009,IND,CHI
20091229NYKDET,2009,NYK,DET
20091229NOHHOU,2009,NOH,HOU
20091229GSWLAL,2009,GSW,LAL
20091229MINSAS,2009,MIN,SAS
20091229OKCWAS,2009,OKC,WAS
20091230ATLCLE,2009,ATL,CLE
20091230MEMIND,2009,MEM,IND
20091230UTAMIN,2009,UTA,MIN
20091230NYKNJN,2009,NYK,NJN
20091230MIANOH,2009,MIA,NOH
20091230MILORL,2009,MIL,ORL
20091230BOSPHX,2009,BOS,PHX
20091230LACPOR,2009,LAC,POR
20091230PHISAC,2009,PHI,SAC
20091230CHATOR,2009,CHA,TOR
20091231CHIDET,2009,CHI,DET
20091231DALHOU,2009,DAL,HOU
20091231PHILAC,2009,PHI,LAC
20091231UTAOKC,2009,UTA,OKC
20091231MIASAS,2009,MIA,SAS
20100101NYKATL,2009,NYK,ATL
20100101SACLAL,2009,SAC,LAL
20100101ORLMIN,2009,ORL,MIN
20100102TORBOS,2009,TOR,BOS
20100102ORLCHI,2009,ORL,CHI
20100102MININD,2009,MIN,IND
20100102CHAMIA,2009,CHA,MIA
20100102OKCMIL,2009,OKC,MIL
20100102CLENJN,2009,CLE,NJN
20100102HOUNOH,2009,HOU,NOH
20100102MEMPHX,2009,MEM,PHX
20100102GSWPOR,2009,GSW,POR
20100102DALSAC,2009,DAL,SAC
20100102DENUTA,2009,DEN,UTA
20100102SASWAS,2009,SAS,WAS
20100103CHACLE,2009,CHA,CLE
20100103PHIDEN,2009,PHI,DEN
20100103DALLAL,2009,DAL,LAL
20100103INDNYK,2009,IND,NYK
20100103SASTOR,2009,SAS,TOR
20100104OKCCHI,2009,OKC,CHI
20100104PORLAC,2009,POR,LAC
20100104ATLMIA,2009,ATL,MIA
20100104NOHUTA,2009,NOH,UTA
20100105CHICHA,2009,CHI,CHA
20100105DETDAL,2009,DET,DAL
20100105GSWDEN,2009,GSW,DEN
20100105ORLIND,2009,ORL,IND
20100105HOULAL,2009,HOU,LAL
20100105MILNJN,2009,MIL,NJN
20100105WASPHI,2009,WAS,PHI
20100105MEMPOR,2009,MEM,POR
20100105PHXSAC,2009,PHX,SAC
20100106NJNATL,2009,NJN,ATL
20100106WASCLE,2009,WAS,CLE
20100106LALLAC,2009,LAL,LAC
20100106BOSMIA,2009,BOS,MIA
20100106GSWMIN,2009,GSW,MIN
