gameid,away,home
20100120SACATL,SAC,ATL
20100120MIACHA,MIA,CHA
20100120BOSDET,BOS,DET
20100120DENGSW,DEN,GSW
20100120CHILAC,CHI,LAC
20100120TORMIL,TOR,MIL
20100120OKCMIN,OKC,MIN
20100120MEMNOH,MEM,NOH
20100120INDORL,IND,ORL
20100120PORPHI,POR,PHI
20100120NJNPHO,NJN,PHO
20100120UTASAS,UTA,SAS
20100120DALWAS,DAL,WAS
20100121LALCLE,LAL,CLE
20100121LACDEN,LAC,DEN
20100122CHAATL,CHA,ATL
20100122PORBOS,POR,BOS
20100122INDDET,IND,DET
20100122NJNGSW,NJN,GSW
20100122OKCMEM,OKC,MEM
20100122NOHMIN,NOH,MIN
20100122LALNYK,LAL,NYK
20100122SACORL,SAC,ORL
20100122DALPHI,DAL,PHI
20100122CHIPHO,CHI,PHO
20100122HOUSAS,HOU,SAS
20100122MILTOR,MIL,TOR
20100122MIAWAS,MIA,WAS
20100123ORLCHA,ORL,CHA
20100123OKCCLE,OKC,CLE
20100123NOHDEN,NOH,DEN
20100123PORDET,POR,DET
20100123CHIHOU,CHI,HOU
20100123PHIIND,PHI,IND
20100123SACMIA,SAC,MIA
20100123MINMIL,MIN,MIL
20100123GSWPHO,GSW,PHO
20100123NJNUTA,NJN,UTA
20100124DALNYK,DAL,NYK
20100124LALTOR,LAL,TOR
20100124LACWAS,LAC,WAS
20100125LACBOS,LAC,BOS
20100125CHADEN,CHA,DEN
20100125ATLHOU,ATL,HOU
20100125ORLMEM,ORL,MEM
20100125CLEMIA,CLE,MIA
20100125INDPHI,IND,PHI
20100125NOHPOR,NOH,POR
20100125CHISAS,CHI,SAS
20100125PHOUTA,PHO,UTA
20100126MILDAL,MIL,DAL
20100126MINNYK,MIN,NYK
20100126CHAPHO,CHA,PHO
20100126GSWSAC,GSW,SAC
20100126LALWAS,LAL,WAS
20100127MINCLE,MIN,CLE
20100127MEMDET,MEM,DET
20100127NOHGSW,NOH,GSW
20100127DENHOU,DEN,HOU
20100127LALIND,LAL,IND
20100127PHIMIL,PHI,MIL
20100127LACNJN,LAC,NJN
20100127CHIOKC,CHI,OKC
20100127UTAPOR,UTA,POR
20100127ATLSAS,ATL,SAS
20100127MIATOR,MIA,TOR
20100128TORNYK,TOR,NYK
20100128BOSORL,BOS,ORL
20100128DALPHO,DAL,PHO
20100129BOSATL,BOS,ATL
20100129MIADET,MIA,DET
20100129CHAGSW,CHA,GSW
20100129PORHOU,POR,HOU
20100129CLEIND,CLE,IND
20100129LACMIN,LAC,MIN
20100129WASNJN,WAS,NJN
20100129CHINOH,CHI,NOH
20100129DENOKC,DEN,OKC
20100129LALPHI,LAL,PHI
20100129MEMSAS,MEM,SAS
20100129SACUTA,SAC,UTA
20100130PORDAL,POR,DAL
20100130NOHMEM,NOH,MEM
20100130MIAMIL,MIA,MIL
20100130ATLORL,ATL,ORL
20100130CHASAC,CHA,SAC
20100130NYKWAS,NYK,WAS
20100131LALBOS,LAL,BOS
20100131LACCLE,LAC,CLE
20100131ORLDET,ORL,DET
20100131PHOHOU,PHO,HOU
20100131NYKMIN,NYK,MIN
20100131PHINJN,PHI,NJN
20100131GSWOKC,GSW,OKC
20100131DENSAS,DEN,SAS
20100131INDTOR,IND,TOR
20100201SACDEN,SAC,DEN
20100201LALMEM,LAL,MEM
20100201MILMIA,MIL,MIA
20100201PHONOH,PHO,NOH
20100201CHAPOR,CHA,POR
20100201DALUTA,DAL,UTA
20100201BOSWAS,BOS,WAS
20100202LACCHI,LAC,CHI
20100202MEMCLE,MEM,CLE
20100202GSWHOU,GSW,HOU
20100202TORIND,TOR,IND
20100202DETNJN,DET,NJN
20100202ATLOKC,ATL,OKC
20100202MILORL,MIL,ORL
20100203LACATL,LAC,ATL
20100203MIABOS,MIA,BOS
20100203GSWDAL,GSW,DAL
20100203PHODEN,PHO,DEN
20100203CHALAL,CHA,LAL
20100203OKCNOH,OKC,NOH
20100203WASNYK,WAS,NYK
20100203CHIPHI,CHI,PHI
20100203SASSAC,SAS,SAC
20100203NJNTOR,NJN,TOR
20100203PORUTA,POR,UTA
20100204MIACLE,MIA,CLE
20100204SASPOR,SAS,POR
20100205CHIATL,CHI,ATL
20100205NJNBOS,NJN,BOS
20100205MINDAL,MIN,DAL
20100205DETIND,DET,IND
20100205DENLAL,DEN,LAL
20100205HOUMEM,HOU,MEM
20100205PHINOH,PHI,NOH
20100205MILNYK,MIL,NYK
20100205WASORL,WAS,ORL
20100205PHOSAC,PHO,SAC
20100206NOHCHA,NOH,CHA
20100206MIACHI,MIA,CHI
20100206NYKCLE,NYK,CLE
20100206NJNDET,NJN,DET
20100206OKCGSW,OKC,GSW
20100206PHIHOU,PHI,HOU
20100206SASLAC,SAS,LAC
20100206INDMIL,IND,MIL
20100206MEMMIN,MEM,MIN
20100206LALPOR,LAL,POR
20100206DENUTA,DEN,UTA
20100207ORLBOS,ORL,BOS
20100207SACTOR,SAC,TOR
20100208DALGSW,DAL,GSW
20100208SASLAL,SAS,LAL
20100208NOHORL,NOH,ORL
20100209WASCHA,WAS,CHA
20100209NJNCLE,NJN,CLE
20100209DALDEN,DAL,DEN
20100209CHIIND,CHI,IND
20100209UTALAC,UTA,LAC
20100209ATLMEM,ATL,MEM
20100209HOUMIA,HOU,MIA
20100209DETMIL,DET,MIL
20100209SACNYK,SAC,NYK
20100209MINPHI,MIN,PHI
20100209OKCPOR,OKC,POR
20100210MIAATL,MIA,ATL
20100210ORLCHI,ORL,CHI
20100210SACDET,SAC,DET
20100210LACGSW,LAC,GSW
20100210CHAMIN,CHA,MIN
20100210MILNJN,MIL,NJN
20100210BOSNOH,BOS,NOH
20100210PORPHO,POR,PHO
20100210PHITOR,PHI,TOR
20100210LALUTA,LAL,UTA
20100211ORLCLE,ORL,CLE
20100211SASDEN,SAS,DEN
20100216NJNCHA,NJN,CHA
20100216NYKCHI,NYK,CHI
20100216MINDET,MIN,DET
20100216UTAHOU,UTA,HOU
20100216GSWLAL,GSW,LAL
20100216PHOMEM,PHO,MEM
20100216DALOKC,DAL,OKC
20100216MIAPHI,MIA,PHI
20100216LACPOR,LAC,POR
20100216BOSSAC,BOS,SAC
20100217PHODAL,PHO,DAL
20100217SACGSW,SAC,GSW
20100217SASIND,SAS,IND
20100217ATLLAC,ATL,LAC
20100217HOUMIL,HOU,MIL
20100217MIANJN,MIA,NJN
20100217UTANOH,UTA,NOH
20100217CHINYK,CHI,NYK
20100217DETORL,DET,ORL
20100217MEMTOR,MEM,TOR
20100217MINWAS,MIN,WAS
20100218DENCLE,DEN,CLE
20100218BOSLAL,BOS,LAL
20100219CLECHA,CLE,CHA
20100219MILDET,MIL,DET
20100219UTAGSW,UTA,GSW
20100219MIAMEM,MIA,MEM
20100219CHIMIN,CHI,MIN
20100219TORNJN,TOR,NJN
20100219INDNOH,IND,NOH
20100219DALORL,DAL,ORL
20100219SASPHI,SAS,PHI
20100219ATLPHO,ATL,PHO
20100219BOSPOR,BOS,POR
20100219DENWAS,DEN,WAS
20100220PHICHI,PHI,CHI
