20141124PHXTOR,170
20141124PHXTOR,-200
20141124NYKHOU,220
20141124NYKHOU,-260
20141124INDDAL,1000
20141124INDDAL,-1800
20141124CHIUTA,-165
20141124CHIUTA,145
20141125ATLWAS,165
20141125ATLWAS,-185
20141125GSWMIA,-330
20141125GSWMIA,270
20141125DETMIL,145
20141125DETMIL,-165
20141125SACNOP,210
20141125SACNOP,-250
20141125CHIDEN,165
20141125CHIDEN,-185
20141126PORCHA,-250
20141126PORCHA,210
20141126WASCLE,290
20141126WASCLE,-350
20141126GSWORL,-370
20141126GSWORL,310
20141126BKNPHI,260
20141126BKNPHI,-320
20141126NYKDAL,900
20141126NYKDAL,-1500
20141126TORATL,-165
20141126TORATL,145
20141126LACDET,-450
20141126LACDET,350
20141126SACHOU,170
20141126SACHOU,-200
20141126MILMIN,-125
20141126MILMIN,105
20141126UTAOKC,165
20141126UTAOKC,-185
20141126INDSAS,800
20141126INDSAS,-1300
20141126DENPHX,280
20141126DENPHX,-340
20141126MEMLAL,-330
20141126MEMLAL,270
20141128CHIBOS,-170
20141128CHIBOS,150
20141128GSWCHA,-450
20141128GSWCHA,350
20141128NOPATL,120
20141128NOPATL,-140
20141128MILDET,115
20141128MILDET,-135
20141128DALTOR,145
20141128DALTOR,-165
20141128LACHOU,-185
20141128LACHOU,165
20141128NYKOKC,300
20141128NYKOKC,-360
20141128ORLIND,180
20141128ORLIND,-210
20141128SACSAS,500
20141128SACSAS,-700
20141128PHXDEN,110
20141128PHXDEN,-130
20141128MEMPOR,145
20141128MEMPOR,-165
20141128MINLAL,200
20141128MINLAL,-240
20141129DALPHI,-1100
20141129DALPHI,700
20141129NOPWAS,155
20141129NOPWAS,-175
20141129CHAATL,250
20141129CHAATL,-300
20141129INDCLE,425
20141129INDCLE,-550
20141129LACUTA,-220
20141129LACUTA,180
20141129HOUMIL,140
20141129HOUMIL,-160
20141130SASBOS,-350
20141130SASBOS,290
20141130CHIBKN,-145
20141130CHIBKN,125
20141130GSWDET,-450
20141130GSWDET,350
20141130MEMSAC,-200
20141130MEMSAC,170
20141130MIANYK,-150
20141130MIANYK,130
20141130ORLPHX,400
20141130ORLPHX,-500
20141130MINPOR,800
20141130MINPOR,-1300
20141130TORLAL,-300
20141130TORLAL,250
20141201SASPHI,-900
20141201SASPHI,600
20141201MIAWAS,170
20141201MIAWAS,-200
20141201DENUTA,-170
20141201DENUTA,150
20141201MINLAC,1200
20141201MINLAC,-2000
20141202MILCLE,550
20141202MILCLE,-750
20141202BOSATL,250
20141202BOSATL,-300
20141202LALDET,110
20141202LALDET,-130
20141202BKNNYK,100
20141202BKNNYK,-120
20141202DALCHI,100
20141202DALCHI,-120
20141202OKCNOP,140
20141202OKCNOP,-160
20141202PORDEN,-155
20141202PORDEN,135
20141202INDPHX,180
20141202INDPHX,-220
20141202TORSAC,-145
20141202TORSAC,125
20141202ORLGSW,1000
20141202ORLGSW,-2000
20141203CHICHA,-165
20141203CHICHA,145
20141203LALWAS,350
20141203LALWAS,-450
20141203DETBOS,175
20141203DETBOS,-210
20141203SASBKN,-450
20141203SASBKN,350
20141203ATLMIA,170
20141203ATLMIA,-200
20141203MEMHOU,-210
20141203MEMHOU,175
20141203DALMIL,-170
20141203DALMIL,150
20141203PHIMIN,250
20141203PHIMIN,-300
20141203TORUTA,-170
20141203TORUTA,150
20141203ORLLAC,1000
20141203ORLLAC,-1800
20141204CLENYK,-340
20141204CLENYK,280
20141204INDPOR,320
20141204INDPOR,-400
20141204NOPGSW,400
20141204NOPGSW,-500
20141205NYKCHA,170
20141205NYKCHA,-200
20141205OKCPHI,900
20141205OKCPHI,-1600
20141205DENWAS,165
20141205DENWAS,-190
20141205LALBOS,130
20141205LALBOS,-150
20141205ATLBKN,-115
20141205ATLBKN,-105
20141205CLETOR,165
20141205CLETOR,-190
20141205SASMEM,100
20141205SASMEM,-120
20141205HOUMIN,-320
20141205HOUMIN,260
20141205PHXDAL,210
20141205PHXDAL,-250
20141205MIAMIL,-120
20141205MIAMIL,100
20141205ORLUTA,180
20141205ORLUTA,-220
20141205INDSAC,135
20141205INDSAC,-155
20141206PHIDET,425
20141206PHIDET,-550
20141206GSWCHI,-140
20141206GSWCHI,120
20141206PHXHOU,110
20141206PHXHOU,-130
20141206MINSAS,900
20141206MINSAS,-1600
20141206ORLSAC,210
20141206ORLSAC,-250
20141206NOPLAC,400
20141206NOPLAC,-500
20141207WASBOS,-170
20141207WASBOS,150
20141207DENATL,210
20141207DENATL,-250
20141207MIAMEM,320
20141207MIAMEM,-380
20141207OKCDET,450
20141207OKCDET,-600
20141207MILDAL,400
20141207MILDAL,-500
20141207PORNYK,-280
20141207PORNYK,240
20141207NOPLAL,125
20141207NOPLAL,-145
20141208ATLIND,-105
20141208ATLIND,-115
20141208BOSWAS,400
20141208BOSWAS,-500
20141208CLEBKN,-400
20141208CLEBKN,330
20141208DENTOR,425
20141208DENTOR,-550
20141208GSWMIN,-2500
20141208GSWMIN,1350
20141208UTASAC,180
20141208UTASAC,-220
20141208PHXLAC,290
20141208PHXLAC,-350
20141209TORCLE,225
20141209TORCLE,-265
20141209PORDET,-380
20141209PORDET,310
20141209DALMEM,125
20141209DALMEM,-145
20141209NYKNOP,230
20141209NYKNOP,-270
20141209MILOKC,450
20141209MILOKC,-600
20141209MIAPHX,170
20141209MIAPHX,-200
20141209SASUTA,-550
20141209SASUTA,425
20141209SACLAL,140
20141209SACLAL,-160
20141210BOSCHA,130
20141210BOSCHA,-150
20141210LACIND,-280
20141210LACIND,240
20141210WASORL,-220
20141210WASORL,180
20141210PHIATL,900
20141210PHIATL,-1600
20141210BKNCHI,500
20141210BKNCHI,-700
20141210PORMIN,-700
20141210PORMIN,500
20141210NYKSAS,450
20141210NYKSAS,-600
20141210NOPDAL,260
20141210NOPDAL,-320
20141210HOUGSW,400
20141210HOUGSW,-500
20141210MIADEN,200
20141210MIADEN,-240
20141211CLEOKC,260
20141211CLEOKC,-320
20141211HOUSAC,-115
20141211HOUSAC,-105
20141212PORCHI,115
20141212PORCHI,-135
20141212LACWAS,-140
20141212LACWAS,120
20141212ORLATL,375
20141212ORLATL,-475
20141212NYKBOS,230
20141212NYKBOS,-270
20141212PHIBKN,250
20141212PHIBKN,-300
20141212INDTOR,350
20141212INDTOR,-450
20141212CHAMEM,450
20141212CHAMEM,-600
20141212OKCMIN,350
20141212OKCMIN,-450
20141212CLENOP,105
20141212CLENOP,-125
20141212DETPHX,400
20141212DETPHX,-500
20141212MIAUTA,105
20141212MIAUTA,-125
20141212LALSAS,700
20141212LALSAS,-1000
20141213GSWDAL,100
20141213GSWDAL,-120
20141213BKNCHA,160
20141213BKNCHA,-180
20141213PORIND,-200
20141213PORIND,170
20141213ATLORL,-150
20141213ATLORL,130
20141213LACMIL,-240
