20131207DENPHI,-280,240
20131207LACCLE,-250,210
20131207DETCHI,110,-130
20131207GSWMEM,-135,115
20131207MIAMIN,-280,240
20131207BKNMIL,120,-140
20131207INDSAS,150,-170
20131207SACUTA,135,-155
20131207DALPOR,190,-230
20131208BOSNYK,210,-250
20131208MIADET,-170,150
20131208ORLHOU,970,-1400
20131208INDOKC,170,-200
20131208TORLAL,220,-260
20131209GSWCHA,-240,200
20131209LACPHI,-600,450
20131209DENWAS,-120,100
20131209ORLMEM,400,-500
20131209PORUTA,-300,250
20131209DALSAC,-185,165
20131210NYKCLE,120,-140
20131210MIAIND,140,-160
20131210SASTOR,-400,320
20131210OKCATL,145,-165
20131210BOSBKN,110,-130
20131210MINDET,-120,100
20131210MILCHI,210,-250
20131210PHXLAL,130,-150
20131211ORLCHA,170,-200
20131211LACBOS,-220,180
20131211OKCMEM,220,-260
20131211SASMIL,-800,550
20131211PHIMIN,800,-1200
20131211DETNOP,120,-140
20131211CHINYK,170,-200
20131211UTASAC,250,-300
20131211DALGSW,200,-240
20131212LACBKN,-115,-105
20131212HOUPOR,120,-140
20131213CHAIND,700,-1000
20131213CLEORL,115,-135
20131213PHITOR,250,-300
20131213WASATL,210,-250
20131213NYKBOS,130,-150
20131213BKNDET,200,-240
20131213MEMNOP,125,-145
20131213LALOKC,700,-1100
20131213CHIMIL,-180,160
20131213MINSAS,320,-400
20131213UTADEN,475,-650
20131213SACPHX,220,-260
20131213HOUGSW,140,-160
20131214LALCHA,125,-145
20131214LACWAS,-200,170
20131214CLEMIA,825,-1450
20131214ATLNYK,-105,-115
20131214TORCHI,145,-165
20131214PORPHI,-650,475
20131214MILDAL,500,-700
20131214SASUTA,-300,250
20131215HOUSAC,-260,220
20131215MINMEM,-160,140
20131215PORDET,-175,155
20131215ORLOKC,970,-1400
20131215NOPDEN,250,-300
20131215GSWPHX,-120,100
20131216DETIND,550,-800
20131216LALATL,210,-250
20131216MINBOS,-120,100
20131216PHIBKN,330,-400
20131216UTAMIA,750,-1200
20131216WASNYK,110,-130
20131216ORLCHI,250,-300
20131216SASLAC,-150,130
20131217SACCHA,105,-125
20131217PORCLE,-185,165
20131217LALMEM,120,-140
20131217OKCDEN,130,-150
20131217NOPGSW,350,-450
20131218INDMIA,150,-170
20131218UTAORL,130,-150
20131218CHATOR,250,-300
20131218SACATL,210,-250
20131218DETBOS,-110,-110
20131218WASBKN,170,-200
20131218NYKMIL,-175,155
20131218PORMIN,130,-150
20131218MEMDAL,425,-550
20131218SASPHX,-160,140
20131218CHIHOU,300,-360
20131218NOPLAC,500,-700
20131219CHIOKC,970,-1400
20131219SASGSW,250,-300
20131220BKNPHI,200,-240
20131220UTAATL,290,-350
20131220MILCLE,310,-380
20131220CHADET,210,-250
20131220SACMIA,500,-700
20131220HOUIND,200,-240
20131220TORDAL,210,-250
20131220PHXDEN,155,-175
20131220MINLAL,-250,210
20131221MEMNYK,135,-155
20131221WASBOS,105,-125
20131221UTACHA,165,-185
20131221SACORL,130,-150
20131221HOUDET,-120,100
20131221CLECHI,135,-155
20131221PHIMIL,120,-140
20131221OKCSAS,130,-150
20131221DALPHX,135,-155
20131221NOPPOR,320,-400
20131221LALGSW,900,-1400
20131221DENLAC,320,-400
20131222BOSIND,700,-1000
20131222TOROKC,475,-650
20131222MINLAC,200,-240
20131223MILCHA,240,-280
20131223DETCLE,100,-120
20131223NYKORL,-125,105
20131223INDBKN,-280,240
20131223ATLMIA,290,-350
20131223DALHOU,155,-175
20131223UTAMEM,220,-260
20131223TORSAS,600,-800
20131223GSWDEN,-125,105
20131223LALPHX,280,-340
20131223NOPSAC,-110,-110
20131225CHIBKN,155,-175
20131225OKCNYK,475,-650
20131225MIALAL,-500,400
20131225HOUSAS,290,-350
20131225LACGSW,130,-150
20131226ATLCLE,-150,130
20131226MEMHOU,290,-350
20131226SASDAL,-150,130
20131226LACPOR,155,-175
20131227OKCCHA,270,-330
20131227DETORL,-180,160
20131227MILBKN,170,-200
20131227TORNYK,-160,140
20131227WASMIN,210,-250
20131227DENNOP,130,-150
20131227LALUTA,155,-175
20131227MIASAC,-260,220
20131227PHXGSW,220,-260
20131228CLEBOS,155,-175
20131228BKNIND,800,-1400
20131228NYKTOR,220,-260
20131228DETWAS,140,-160
20131228CHAATL,220,-260
20131228DALCHI,-140,120
20131228NOPHOU,350,-450
20131228DENMEM,130,-150
20131228MINMIL,-320,260
20131228PHIPHX,475,-650
20131228MIAPOR,250,-300
20131228UTALAC,1200,-2000
20131229GSWCLE,-300,250
20131229ATLORL,130,-150
20131229HOUOKC,165,-185
20131229SACSAS,700,-1000
20131229PHILAL,250,-300
20131230WASDET,120,-140
20131230CHIMEM,180,-220
20131230DALMIN,160,-180
20131230PORNOP,-130,110
20131230MIADEN,-200,170
20131230CHAUTA,120,-140
20131230PHXLAC,300,-360
20131231ATLBOS,130,-150
20131231CLEIND,900,-1300
20131231GSWORL,-250,210
20131231TORCHI,100,-120
20131231SACHOU,450,-600
20131231BKNSAS,700,-1000
20131231POROKC,210,-250
20131231MILLAL,210,-250
20140101DALWAS,110,-130
20140101INDTOR,-240,200
20140101NOPMIN,200,-240
20140101PHIDEN,400,-500
20140101CHALAC,500,-700
20140102ORLCLE,110,-130
20140102GSWMIA,190,-230
20140102BOSCHI,175,-210
20140102BKNOKC,700,-1000
20140102NYKSAS,600,-900
20140102MEMPHX,175,-210
20140102MILUTA,180,-220
20140102CHAPOR,600,-800
20140102PHISAC,320,-400
20140103TORWAS,140,-160
20140103GSWATL,-150,130
20140103NOPBOS,145,-165
20140103NYKHOU,590,-750
20140103LACDAL,-145,125
20140103MEMDEN,165,-185
20140103UTALAL,135,-155
20140104NOPIND,600,-900
20140104MIAORL,-600,450
20140104CLEBKN,240,-280
20140104ATLCHI,175,-210
20140104OKCMIN,110,-130
20140104LACSAS,400,-500
20140104MILPHX,310,-380
20140104PHIPOR,750,-1200
20140104CHASAC,175,-210
20140105MEMDET,130,-150
20140105INDCLE,-550,425
20140105TORMIA,240,-280
20140105GSWWAS,-165,145
20140105BOSOKC,400,-500
20140105NYKDAL,240,-280
20140105DENLAL,-140,120
20140106MINPHI,-300,250
20140106ATLBKN,105,-125
20140106ORLLAC,290,-350
20140107WASCHA,-125,105
20140107PHICLE,200,-240
20140107TORIND,325,-450
20140107NOPMIA,320,-400
20140107DETNYK,135,-155
20140107PHXCHI,110,-130
20140107SASMEM,-240,200
20140107GSWMIL,-550,425
20140107LALDAL,450,-600
20140107BOSDEN,270,-330
20140107OKCUTA,220,-260
20140107PORSAC,-200,170
20140108DALSAS,175,-210
20140108DETTOR,210,-250
20140108INDATL,-200,170
20140108GSWBKN,-250,210
20140108PHXMIN,310,-370
20140108WASNOP,150,-170
20140108LALHOU,970,-1400
20140108ORLPOR,750,-1200
20140108BOSLAC,475,-650
20140109MIANYK,-400,320
20140109OKCDEN,135,-155
20140110WASIND,400,-500
20140110DETPHI,-135,115
20140110HOUATL,-140,120
20140110PHXMEM,130,-150
20140110CHAMIN,450,-600
20140110DALNOP,-125,105
20140110MIABKN,-240,200
20140110CHIMIL,-180,160
20140110CLEUTA,100,-120
20140110ORLSAC,260,-320
20140110BOSGSW,550,-800
20140110LALLAC,450,-600
20140111BKNTOR,400,-500
20140111HOUWAS,-135,115
20140111PHXDET,105,-125
20140111NYKPHI,-200,170
20140111CHACHI,155,-175
20140111MILOKC,1500,-3000
20140111NOPDAL,310,-380
20140111ORLDEN,750,-1200
20140111BOSPOR,700,-1100
20140112CLESAC,135,-155
20140112ATLMEM,170,-200
20140112MINSAS,210,-250
20140113MILTOR,500,-700
20140113HOUBOS,-250,210
20140113PHXNYK,155,-175
20140113WASCHI,120,-140
20140113SASNOP,-300,250
20140113ORLDAL,800,-1400
20140113DENUTA,-250,210
20140114NYKCHA,-110,-110
20140114SACIND,475,-650
20140114OKCMEM,-110,-110
20140114CLELAL,-170,150
20140115CHIORL,-240,200
20140115CHAPHI,110,-130
20140115MIAWAS,-260,220
20140115TORBOS,-175,155
20140115MEMMIL,-240,200
20140115SACMIN,450,-600
20140115HOUNOP,-240,200
20140115UTASAS,900,-1600
20140115LALPHX,500,-700
20140115CLEPOR,450,-600
20140115DENGSW,320,-380
20140115DALLAC,170,-200
20140116NYKIND,400,-500
20140116BKNATL,100,-120
20140116OKCHOU,120,-140
20140117LACNYK,-185,165
20140117CHAORL,-125,105
20140117MIAPHI,-700,500
20140117MINTOR,-110,-110
20140117CHIWAS,170,-200
20140117LALBOS,250,-300
20140117UTADET,250,-300
20140117SACMEM,190,-230
20140117PORSAS,200,-240
20140117CLEDEN,250,-300
20140117DALPHX,-125,105
20140117GSWOKC,-125,105
20140118MIACHA,-300,250
20140118LACIND,400,-500
20140118DETWAS,210,-250
20140118PHICHI,330,-400
20140118MILHOU,1100,-1600
20140118UTAMIN,450,-600
20140118GSWNOP,-200,170
20140118PORDAL,-130,110
20140119LALTOR,400,-500
20140119BOSORL,-150,130
20140119SACOKC,320,-400
20140119MILSAS,1500,-3000
20140119DENPHX,105,-125
20140120DALCLE,-120,100
20140120LACDET,-165,145
20140120TORCHA,-180,160
20140120PHIWAS,450,-600
20140120BKNNYK,105,-125
20140120NOPMEM,290,-350
20140120MIAATL,-210,175
20140120LALCHI,370,-470
20140120PORHOU,115,-135
20140120INDGSW,105,-125
20140121ORLBKN,400,-500
20140121BOSMIA,425,-550
20140121SACNOP,-125,105
20140121POROKC,220,-260
20140121MINUTA,-200,170
20140122LACCHA,-240,200
20140122CHICLE,170,-200
20140122ATLORL,-230,190
20140122DALTOR,130,-150
20140122BOSWAS,400,-500
20140122PHINYK,320,-380
20140122SACHOU,425,-550
20140122DETMIL,-200,170
20140122INDPHX,-250,210
20140122OKCSAS,230,-270
20140123LALMIA,600,-900
20140123DENPOR,250,-300
20140124LALORL,120,-140
20140124TORPHI,-260,220
20140124SASATL,-210,180
20140124OKCBOS,125,-145
20140124DALBKN,110,-130
20140124MILCLE,320,-400
20140124NOPDET,140,-160
20140124CHANYK,155,-175
20140124LACCHI,-135,115
20140124MEMHOU,200,-240
20140124WASPHX,145,-165
20140124INDSAC,-900,600
20140124MINGSW,150,-170
20140125CHICHA,-125,105
20140125LACTOR,-105,-115
20140125OKCPHI,350,-450
20140125HOUMEM,-125,105
20140125ATLMIL,-135,115
20140125INDDEN,-130,110
20140125WASUTA,110,-130
20140125MINPOR,270,-330
20140126SASMIA,150,-170
20140126LALNYK,200,-240
20140126ORLNOP,220,-260
20140126PHXCLE,110,-130
20140126BKNBOS,165,-190
20140126DETDAL,240,-280
20140126PORGSW,210,-250
20140126DENSAC,-175,155
20140127PHXPHI,180,-220
20140127TORBKN,160,-180
20140127MINCHI,-200,170
20140127LACMIL,-600,450
20140127ATLOKC,450,-600
20140127SACUTA,260,-320
20140128NOPCLE,125,-145
20140128ORLDET,250,-300
20140128BOSNYK,220,-260
20140128SASHOU,-130,110
20140128MEMPOR,180,-220
20140128WASGSW,290,-350
20140128INDLAL,-700,500
20140129OKCMIA,155,-175
20140129ORLTOR,425,-550
20140129PHIBOS,150,-170
20140129PHXMIL,330,-400
20140129NOPMIN,450,-600
20140129HOUDAL,180,-220
20140129CHADEN,290,-350
20140129CHISAS,300,-360
20140129MEMSAC,-230,190
20140129WASLAC,320,-400
20140130PHXIND,600,-900
20140130CLENYK,240,-280
20140130LACGSW,220,-260
20140131MILORL,210,-250
20140131ATLPHI,-220,180
20140131MEMMIN,-125,105
20140131OKCBKN,170,-200
20140131SACDAL,400,-500
20140131TORDEN,100,-120
20140131CHALAL,130,-150
20140131GSWUTA,-260,220
20140201BKNIND,600,-900
20140201OKCWAS,170,-200
20140201MINATL,130,-150
20140201PHIDET,425,-550
20140201CLEHOU,700,-1100
20140201MILMEM,800,-1200
20140201CHINOP,-110,-110
20140201SACSAS,475,-650
20140201MIANYK,-210,175
20140201CHAPHX,350,-450
20140201TORPOR,260,-320
20140201UTALAC,900,-1300
20140202ORLBOS,210,-250
20140203ORLIND,1500,-3000
20140203PORWAS,-115,-105
20140203PHIBKN,400,-500
20140203DETMIA,425,-550
20140203NYKMIL,-380,320
20140203SASNOP,-165,145
20140203MEMOKC,320,-400
20140203CLEDAL,350,-450
20140203LACDEN,-125,105
20140203TORUTA,-200,170
20140203CHISAC,105,-125
20140204INDATL,-155,135
20140204LALMIN,500,-700
20140204CHIPHX,290,-350
