gameid_num,gameid,away,home
0021400462,20141229ORLMIA,ORL,MIA
0021400463,20141229WASHOU,WAS,HOU
0021400464,20141229UTALAC,UTA,LAC
0021400465,20141230DETORL,DET,ORL
0021400466,20141230CLEATL,CLE,ATL
0021400467,20141230BKNCHI,BKN,CHI
0021400468,20141230SASMEM,SAS,MEM
0021400469,20141230PHXNOP,PHX,NOP
0021400470,20141230WASDAL,WAS,DAL
0021400471,20141230LALDEN,LAL,DEN
0021400472,20141230MINUTA,MIN,UTA
0021400473,20141230TORPOR,TOR,POR
0021400474,20141230PHIGSW,PHI,GSW
0021400475,20141231SACBOS,SAC,BOS
0021400476,20141231MIAIND,MIA,IND
0021400477,20141231NYKLAC,NYK,LAC
0021400478,20141231CHAHOU,CHA,HOU
0021400479,20141231MILCLE,MIL,CLE
0021400480,20141231PHXOKC,PHX,OKC
0021400481,20141231NOPSAS,NOP,SAS
0021400482,20150101DENCHI,DEN,CHI
0021400483,20150101SACMIN,SAC,MIN
0021400484,20150102CLECHA,CLE,CHA
0021400485,20150102BKNORL,BKN,ORL
0021400486,20150102DALBOS,DAL,BOS
0021400487,20150102DETNYK,DET,NYK
0021400488,20150102HOUNOP,HOU,NOP
0021400489,20150102WASOKC,WAS,OKC
0021400490,20150102INDMIL,IND,MIL
0021400491,20150102PHIPHX,PHI,PHX
0021400492,20150102ATLUTA,ATL,UTA
0021400493,20150102TORGSW,TOR,GSW
0021400494,20150102MEMLAL,MEM,LAL
0021400495,20150103CHAORL,CHA,ORL
0021400496,20150103BOSCHI,BOS,CHI
0021400497,20150103MIAHOU,MIA,HOU
0021400498,20150103UTAMIN,UTA,MIN
0021400499,20150103WASSAS,WAS,SAS
0021400500,20150103MEMDEN,MEM,DEN
0021400501,20150103ATLPOR,ATL,POR
0021400502,20150103PHILAC,PHI,LAC
0021400503,20150104DALCLE,DAL,CLE
0021400504,20150104SACDET,SAC,DET
0021400505,20150104BKNMIA,BKN,MIA
0021400506,20150104MILNYK,MIL,NYK
0021400507,20150104TORPHX,TOR,PHX
0021400508,20150104INDLAL,IND,LAL
0021400509,20150105CLEPHI,CLE,PHI
0021400510,20150105CHABOS,CHA,BOS
0021400511,20150105DALBKN,DAL,BKN
0021400512,20150105HOUCHI,HOU,CHI
0021400513,20150105NYKMEM,NYK,MEM
0021400514,20150105DENMIN,DEN,MIN
0021400515,20150105WASNOP,WAS,NOP
0021400516,20150105INDUTA,IND,UTA
0021400517,20150105LALPOR,LAL,POR
0021400518,20150105OKCGSW,OKC,GSW
0021400519,20150105ATLLAC,ATL,LAC
0021400520,20150106PHXMIL,PHX,MIL
0021400521,20150106DETSAS,DET,SAS
0021400522,20150107NOPCHA,NOP,CHA
0021400523,20150107HOUCLE,HOU,CLE
0021400524,20150107MILPHI,MIL,PHI
