dataid,gameid
1349362,20131221LACDEN
1348935,20131221GSWLAL
1349120,20131221PORNOP
1348767,20131221PHXDAL
1349787,20131221SASOKC
1349403,20131221MILPHI
1348821,20131221CHICLE
1349866,20131221CHAUTA
1349711,20131221DETHOU
1348835,20131221ORLSAC
1349151,20131221BOSWAS
1349772,20131221NYKMEM
1349973,20131222LACMIN
1349329,20131222OKCTOR
1349140,20131222INDBOS
1349560,20131223SACNOP
1348769,20131223PHXLAL
1348778,20131223DENGSW
1349791,20131223SASTOR
1349566,20131223MEMUTA
1349248,20131223HOUDAL
1349972,20131223BKNIND
1349632,20131223MIAATL
1349430,20131223CLEDET
1349869,20131223CHAMIL
1348839,20131223ORLNYK
1348940,20131225GSWLAC
1349795,20131225SASHOU
1349135,20131225LALMIA
1349775,20131225NYKOKC
1349970,20131225BKNCHI
1349124,20131226PORLAC
1348896,20131226DALSAS
1349256,20131226HOUMEM
1349437,20131226CLEATL
1348946,20131227GSWPHX
1349563,20131227SACMIA
1349544,20131227UTALAL
1349749,20131227NOPDEN
1348948,20131227MINWAS
1349778,20131227NYKTOR
1349975,20131227BKNMIL
1349878,20131227CHAOKC
1348845,20131227ORLDET
1349368,20131228LACUTA
1349128,20131228PORMIA
1348774,20131228PHXPHI
1349407,20131228MILMIN
1349572,20131228MEMDEN
1349261,20131228HOUNOP
1348825,20131228CHIDAL
1349695,20131228ATLCHA
1349146,20131228INDBKN
1349264,20131228WASDET
1349939,20131228TORNYK
1349154,20131228BOSCLE
1349139,20131229LALPHI
1349799,20131229SASSAC
1349331,20131229OKCHOU
1349442,20131229CLEGSW
1348852,20131229ORLATL
1349376,20131230LACPHX
1349548,20131230UTACHA
1348782,20131230DENMIA
1349754,20131230NOPPOR
1348954,20131230MINDAL
1349579,20131230MEMCHI
1349714,20131230DETWAS
1349144,20131231LALMIL
1348831,20131231CHITOR
1349334,20131231OKCPOR
1349802,20131231SASBKN
1349266,20131231HOUSAC
1348856,20131231ORLGSW
1349150,20131231INDCLE
1349158,20131231BOSATL
1349382,20140101LACCHA
1348787,20140101DENPHI
1348958,20140101MINNOP
1349943,20140101TORIND
1349271,20140101WASDAL
1349134,20140102PORCHA
1349567,20140102SACPHI
1349554,20140102UTAMIL
1348776,20140102PHXMEM
1349805,20140102SASNYK
1348836,20140102CHIBOS
1349341,20140102OKCBKN
1349640,20140102MIAGSW
1349450,20140102CLEORL
1349149,20140103LALUTA
1348789,20140103DENMEM
1348909,20140103DALLAC
1349272,20140103HOUNYK
1349163,20140103BOSNOP
1349700,20140103ATLGSW
1349276,20140103WASTOR
1349137,20140104PORPHI
1349571,20140104SACCHA
1348779,20140104PHXMIL
1349811,20140104SASLAC
1348962,20140104MINOKC
1348848,20140104CHIATL
1348967,20140104BKNCLE
1349155,20140104INDNOP
1348862,20140104ORLMIA
1349156,20140105LALDEN
1348917,20140105DALNYK
1349345,20140105OKCBOS
1349644,20140105MIATOR
1349282,20140105WASGSW
1349455,20140105CLEIND
1349723,20140105DETMEM
1349386,20140106LACORL
1348973,20140106BKNATL
1349197,20140106PHIMIN
1349575,20140107SACPOR
1348793,20140107DENBOS
1349556,20140107UTAOKC
1348927,20140107DALLAL
1349584,20140107MEMSAS
1349414,20140107MILGSW
1348854,20140107CHIPHX
1349785,20140107NYKDET
1349652,20140107MIANOP
1349461,20140107CLEPHI
1349896,20140107CHAWAS
1349161,20140107INDTOR
1349391,20140108LACBOS
1349142,20140108PORORL
1348968,20140108MINPHX
1349777,20140108NOPWAS
1349281,20140108HOULAL
1348979,20140108BKNGSW
1349704,20140108ATLIND
1349947,20140108TORDET
1349814,20140108SASDAL
1348796,20140109DENOKC
1349790,20140109NYKMIA
1349397,20140110LACLAL
1348955,20140110GSWBOS
1349582,20140110SACORL
1349561,20140110UTACLE
1349418,20140110MILCHI
1349783,20140110NOPDAL
1349591,20140110MEMPHX
1348984,20140110BKNMIA
1348972,20140110MINCHA
1349709,20140110ATLHOU
1349209,20140110PHIDET
1349167,20140110INDWAS
1349145,20140111PORBOS
1348800,20140111DENORL
1348934,20140111DALNOP
1349352,20140111OKCMIL
1348859,20140111CHICHA
1349223,20140111PHINYK
1349727,20140111DETPHX
1349950,20140111TORBKN
1349291,20140111WASHOU
1349818,20140112SASMIN
1349595,20140112MEMATL
1349583,20140112SACCLE
1349564,20140113UTADEN
1348942,20140113DALORL
1349788,20140113NOPSAS
1348866,20140113CHIWAS
1349168,20140113BOSHOU
1349796,20140113NYKPHX
1349953,20140113TORMIL
1349160,20140114LALCLE
1349601,20140114MEMOKC
1349901,20140114CHANYK
1349176,20140114INDSAC
1349402,20140115LACDAL
1348959,20140115GSWDEN
1349148,20140115PORCLE
1348783,20140115PHXLAL
1349822,20140115SASUTA
1349793,20140115NOPHOU
1349433,20140115MILMEM
1348978,20140115MINSAC
1349172,20140115BOSTOR
1349233,20140115PHICHA
1349297,20140115WASMIA
1348869,20140115ORLCHI
1349288,20140116HOUOKC
1349181,20140116INDNYK
1349736,20140116ATLBKN
1349359,20140117OKCGSW
1348788,20140117PHXDAL
1348805,20140117DENCLE
1349827,20140117SASPOR
